/*
**
**  Swift/XRT light curve for PKS 0235+164.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53549.304117       0.272222        0.04373        0.00282        0.20269     1
   53558.520615       0.446004        0.05037        0.00248        0.15189     1
   54128.455615       0.335306        0.12293        0.00456        0.14035     1
   54129.393816       0.338777        0.13857        0.00428        0.16653     1
   54132.172477       0.171923        0.15363        0.00882        0.08225     1
   54133.138582       0.075939        0.16300        0.00666        0.34446     1
   54134.472647       0.468969        0.19749        0.00745        0.05391     1
   54135.776859       0.163565        0.28303        0.06578        0.00315     0
   54135.781308       0.167958        0.17803        0.00722        0.14533     1
   54136.746873       0.071974        0.19378        0.00986        0.19655     1
   54136.814853       0.139991        0.22703        0.01783        0.03541     0
   54137.453512       0.432185        0.21051        0.01703        0.01314     0
   54137.458287       0.436810        0.19083        0.00702        0.06307     1
   54138.833108       0.005549        0.16969        0.01479        0.98584     1
   54138.894291       0.066782        0.25086        0.01321        0.32584     0
   54139.460338       0.435459        0.19705        0.00894        0.03997     1
   54140.955052       0.002586        0.21170        0.02468        0.96830     1
   54142.395065       0.102855        0.17197        0.01137        0.11023     1
   54144.941934       0.039306        0.18365        0.01108        0.27760     1
   54146.414352       0.039103        0.19233        0.01127        0.28107     1
   54148.136065       0.135464        0.21403        0.01229        0.07376     1
   54150.770553       0.032886        0.23478        0.01240        0.33152     1
   54150.960060       0.034266        0.25525        0.01433        0.32665     1
   54152.045899       0.042284        0.20503        0.00955        0.39454     1
   54155.922734       0.041122        0.17608        0.00960        0.33807     1
   54157.331091       0.039015        0.18143        0.01091        0.28649     1
   54159.200297       0.039277        0.18077        0.01074        0.28760     1
   54711.497507       0.203807        0.11365        0.00460        0.19112     1
   54719.869433       0.069461        0.13100        0.01254        0.10226     1
   54729.649506       0.005999        0.11482        0.01177        0.98060     1
   54737.905755       0.834502        0.15838        0.01253        0.00964     1
   54740.651550       0.034556        0.13947        0.01454        0.16912     1
   54747.747561       0.037824        0.18395        0.01066        0.32131     1
   54758.741946       0.037897        1.27992        0.05395        0.17098     1
   54761.753994       0.037665        1.33240        0.04890        0.18013     1
   54768.836188       0.033902        0.61499        0.04381        0.07075     1
   54780.345648       0.036270        0.16238        0.01984        0.08250     1
   54781.054385       0.006696        0.12791        0.01250        0.98026     1
   54789.560198       0.006420        0.16434        0.01370        0.98621     1
   54790.834942       0.003878        0.16610        0.01777        0.97753     1
   54803.710864       0.033583        0.16032        0.01316        0.20032     1
   54813.641279       0.070507        0.10503        0.01169        0.07949     1
   54818.524722       0.135682        0.18650        0.01396        0.05097     1
   55087.358341       0.038856        0.07991        0.00729        0.28644     1
   55098.442888       0.140447        0.06996        0.01173        0.04747     1
   55117.745351       0.040018        0.09337        0.00731        0.32387     1
   55135.047185       0.006290        0.09020        0.01095        0.97746     1
   55142.088596       0.006522        0.08977        0.01019        0.96474     1
   55155.154215       0.036706        0.06288        0.00866        0.18594     1
   55162.937039       0.036561        0.07647        0.00967        0.16452     1
   55169.313727       0.006348        0.06650        0.00885        0.98062     1
   55176.223760       0.005403        0.08659        0.01987        0.92516     1
   55190.477744       0.006246        0.12585        0.01253        0.96733     1
   55197.956116       0.005665        0.14760        0.01393        0.95534     1
