/*
**
**  Swift/XRT light curve for S5 0716+714.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53463.989232       1.010653        0.22007        0.00597        0.04436     1
   53463.989258       1.010703        0.28325        0.00671        0.04842     0
   53464.785127       0.070535        0.31741        0.02127        0.07750     0
   53464.785141       0.070463        0.21007        0.01990        0.05313     1
   53600.734095       0.111701        0.39614        0.00819        0.37760     1
   54375.869862       0.107198        0.26476        0.00923        0.24818     1
   54396.708529       0.014235        0.49652        0.01618        0.98158     1
   54397.641564       0.011533        0.31667        0.01470        0.97552     1
   54398.318829       0.132545        0.38589        0.01346        0.11589     1
   54399.546958       0.039117        0.36211        0.01442        0.32103     1
   54400.415840       0.040337        0.91102        0.03157        0.27590     1
   54401.365727       0.038420        0.45119        0.02423        0.25426     1
   54404.230361       0.033525        0.26354       -1.00000        0.00433     1
   54407.243572       0.039727        1.02827        0.02804        0.40075     1
   54410.190600       0.034382        0.40938        0.02071        0.31698     1
   54413.194698       0.040700        0.54309        0.02235        0.27713     1
   54417.177321       0.072656        0.42014        0.01874        0.18498     1
   54577.693386       0.070608        0.44213        0.02264        0.12298     1
   54584.785983       0.033707        2.15706        0.47132        0.00197     0
   54584.791776       0.039437        1.79223        0.06231        0.28497     1
   54586.026705       0.194346        1.84220        0.30129        0.00071     0
   54586.031788       0.199391        1.42767        0.03353        0.11917     1
   54588.733963       0.039640        0.43353        0.01692        0.27376     1
   54799.016478       0.202950        0.43157        0.01635        0.06337     1
   54806.939500       0.036183        0.27874        0.02102        0.14457     1
   54813.730314       0.069664        0.33402        0.02337        0.11463     1
   54820.396110       0.037839        0.26230        0.01540        0.20797     1
   54834.195569       0.001104        0.22982        0.04001        0.93745     1
   54843.836499       0.100792        0.31073        0.01596        0.11016     1
   54850.396801       0.102434        0.33518        0.01774        0.07829     1
   54855.668367       0.039930        0.29302        0.01398        0.27055     1
   54864.745783       0.070173        0.38356        0.02185        0.12354     1
   54867.146581       0.069374        0.37452        0.01458        0.18560     1
   54868.513301       0.033917        0.22152        0.04136        0.03226     1
   54874.761089       0.071523        0.26741        0.00972        0.27960     1
   54876.939661       0.040163        0.27365        0.01153        0.36619     1
   54878.807431       0.171662        0.25472        0.00848        0.15049     1
   54880.492146       0.041078        0.27847        0.01190        0.33732     1
   54882.093793       0.042284        0.22921        0.01002        0.38134     1
   54884.195923       0.073484        0.20940        0.01082        0.24749     1
   54886.076156       0.073833        0.22270        0.00963        0.24556     1
   54888.077485       0.070405        0.22324        0.01071        0.19727     1
   54889.082620       0.006246        0.24670        0.01788        0.90061     1
   55120.951747       0.536396        0.28486        0.00963        0.05852     1
   55165.127157       0.008933        0.92165        0.03584        0.97979     1
   55167.036229       0.033888        0.86414        0.03816        0.31743     1
   55172.890996       0.006871        0.61792        0.02545        0.98720     1
   55176.758025       0.205158        0.67201        0.03006        0.03681     1
   55177.492377       0.466616        0.65858        0.02029        0.03829     1
   55178.496348       0.468185        0.75671        0.01879        0.05136     1
   55179.498075       0.469231        0.76939        0.01936        0.04966     1
   55180.278984       0.228616        0.69683        0.02221        0.06679     1
   55187.947028       0.001554        0.47664        0.04913        0.98359     1
   55193.383674       0.038536        0.34949        0.01864        0.18960     1
   55196.060341       0.038943        0.29980        0.01391        0.36700     1
   55200.845902       0.007568        0.43777        0.02071        0.97903     1
