/*
**
**  Swift/XRT light curve for QSO B0827+243.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54476.359497       0.134070        0.15271       -1.00000        0.00498     1
   54526.470449       0.375135        0.06136        0.00367        0.09624     1
   54528.272748       0.101664        0.04988        0.00944        0.04275     1
   54808.609626       0.038957        0.04953        0.00663        0.24939     1
   54822.504426       0.008047        0.06847        0.00844        0.97090     1
   54829.499792       0.099965        0.35138        0.09906        0.00304     0
   54829.536682       0.070928        0.07526        0.00726        0.15227     1
   54846.757604       0.037519        0.05869        0.01007        0.12892     1
   54858.554924       0.037447        0.04983        0.00699        0.22489     1
   54878.523786       0.005200        0.07057        0.01010        0.98775     1
   54885.779977       0.037359        0.07414        0.00796        0.22864     1
   54892.315292       0.006188        0.08654        0.01043        0.98097     1
   54906.297226       0.005549        0.06567        0.00938        0.97475     1
   54931.222195       0.171502        0.05243        0.00295        0.28387     1
   55173.295620       0.004924        0.12034        0.01338        0.98350     1
   55187.547685       0.005752        0.09827        0.01137        0.97940     1
   55194.025743       0.007597        0.08167        0.00909        0.98697     1
   55201.960952       0.039044        0.06594        0.00699        0.27936     1
   55208.484169       0.008149        0.09846        0.00941        0.98346     1
   55212.435371       0.076375        0.13258        0.00626        0.31680     1
   55215.451836       0.005796        0.11417        0.01221        0.97802     1
   55229.980492       0.005578        0.11398        0.01255        0.96611     1
   55236.136870       0.006173        0.11869        0.01219        0.97427     1
   55247.696512       0.270784        0.09667        0.00526        0.09559     1
   55250.175597       0.007016        0.09566        0.01017        0.97501     1
   55257.743216       0.007437        0.07748        0.00883        0.97198     1
   55264.303600       0.005403        0.07675        0.01026        0.98836     1
   55278.970679       0.003602        0.14479        0.01709        0.97636     1
   55285.657588       0.005592        0.07903        0.01030        0.97437     1
   55305.699009       0.041950        0.07809        0.00694        0.32383     1
   55503.204440       0.074690        0.24507        0.01086        0.28139     1
   55535.199655       0.006566        0.17629        0.01727        0.97289     1
   55542.496696       0.003995        0.15881        0.01709        0.96429     1
   55549.449756       0.007873        0.14264        0.01142        0.97971     1
   55556.133461       0.000537        0.15288        0.04837        0.94487     1
   55558.403656       0.270624        0.10977        0.01199        0.02243     1
   55563.501684       0.007321        0.09990        0.01028        0.97511     1
   55570.789588       0.006929        0.07123        0.01557        0.97919     1
   55578.750146       0.007452        0.06869        0.00881        0.96831     1
   55584.368357       0.005897        0.09974        0.01123        0.98275     1
   55592.466760       0.005462        0.09889        0.01161        0.97413     1
   55599.903215       0.005810        0.09003        0.01084        0.97830     1
   55605.659084       0.004779        0.11319        0.01322        0.98148     1
   55612.334907       0.006711        0.09116        0.01017        0.97382     1
   55626.668101       0.005491        0.10393        0.01200        0.95771     1
   55641.113722       0.005709        0.08684        0.01073        0.97976     1
   55647.267825       0.000886        0.13097        0.03274        0.98254     1
   55898.184650       0.005607        0.05909        0.00947        0.96757     1
   55905.362607       0.100545        0.11893       -1.00000        0.00614     1
   55912.385473       0.306153        0.04768        0.00746        0.02362     1
   55919.711223       0.136670        0.05666        0.00888        0.04230     1
   55926.380733       0.001903        0.02760       -1.00000        0.98085     1
   55940.493709       0.005563        0.04038        0.00794        0.94997     1
   55954.081169       0.005607        0.05155        0.00898        0.96525     1
   55961.434359       0.005868        0.05315        0.00989        0.98266     1
   55975.806508       0.069170        0.04969        0.00968        0.11191     1
   55982.286413       0.002469        0.04358        0.01212        0.99022     1
   55989.161157       0.006202        0.05804        0.00823        0.99080     1
   55996.555916       0.236416        0.06434        0.01079        0.02241     1
   56003.665743       0.002048        0.05132        0.01372        0.96869     1
   56010.355505       0.006260        0.05988        0.00904        0.97909     1
   56016.967589       0.005302        0.05081        0.00928        0.96680     1
   56198.776569       0.044157        0.24842        0.00894        0.51245     1
   56202.520588       0.168248        0.26831        0.01060        0.13852     1
   56254.955452       0.044491        0.21217        0.00863        0.48794     1
   56262.279639       0.005723        0.20690        0.01864        0.97711     1
   56268.408191       0.073019        0.23546        0.00909        0.27970     1
   56269.218075       0.005520        0.25199        0.01826        0.97939     1
   56276.836890       0.005433        0.38564        0.02287        0.97848     1
   56283.800221       0.037258        0.34249        0.02187        0.15897     1
   56293.719718       0.006624        0.31915        0.01992        0.97994     1
   56297.726377       0.005563        0.34213        0.02142        0.96646     1
   56304.674636       0.005868        0.39374        0.02217        0.98019     1
   56311.103223       0.069650        0.35620        0.01975        0.09613     1
   56316.631752       0.005723        0.53013        0.02698        0.98878     1
   56325.512068       0.005984        0.44702        0.02326        0.98095     1
   56332.199381       0.006856        0.44652        0.02238        0.97685     1
   56339.406388       0.003326        0.43396        0.03209        0.96631     1
   56348.616031       0.004764        0.48103        0.02722        0.98456     1
   56353.605804       0.305282        0.34014        0.02051        0.01969     1
   56367.799898       0.005607        0.15021        0.01603        0.97661     1
   56381.406457       0.005316        0.14491        0.01437        0.96641     1
   56389.152014       0.006304        0.07223        0.01481        0.86446     1
   56436.291979       0.005912        0.12958        0.01535        0.96784     1
   56640.634898       0.035181        0.07495        0.01490        0.10133     1
   56648.671939       0.005839        0.05689        0.00900        0.97517     1
   56654.938714       0.005694        0.06432        0.01006        0.98439     1
   56661.281231       0.213176        0.09928        0.01366        0.01833     1
   56668.814212       0.005897        0.15853        0.01805        0.97452     1
   56682.498041       0.260950        0.12260        0.01654        0.02388     1
   56724.746395       0.037635        0.07127        0.01159        0.10442     1
   56731.545845       0.036081        0.07550        0.00971        0.16374     1
   56738.594359       0.006304        0.11332        0.01164        0.97678     1
   56745.912865       0.005868        0.10241        0.01156        0.96811     1
   56997.937821       0.005926        0.08983        0.01272        0.96365     1
   57004.852233       0.005011        0.06495        0.01029        0.97990     1
   57011.114456       0.005534        0.04917        0.00870        0.96220     1
   57018.436759       0.006290        0.06377        0.00911        0.97705     1
   57032.751901       0.005723        0.07364        0.01087        0.96482     1
   57053.668656       0.006319        0.09540        0.01409        0.96527     1
   57067.043808       0.004430        0.09306        0.01259        0.97350     1
   57073.459814       0.036691        0.07100        0.00930        0.17893     1
   57088.398006       0.003370        0.03475        0.00931        0.96596     1
   57101.709916       0.005316        0.05689        0.00976        0.97250     1
   57361.637390       0.005665        0.05412        0.00902        0.97451     1
   57381.790322       0.006885        0.06581        0.00889        0.97282     1
   57396.518040       0.035413        0.06767        0.01185        0.12802     1
   57403.653261       0.072409        0.05315        0.00745        0.10990     1
   57431.707679       0.002716        0.04785       -1.00000        0.98600     1
   57440.474544       0.002527        0.03520        0.01113        0.97162     1
   57467.470069       0.005578        0.06102        0.00890        0.97914     1
