/*
**
**  Swift/XRT light curve for 1ES 1959+650.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53479.314992       0.269685        9.18501        0.04835        0.09508     0
   53479.349948       0.034527        8.28170        0.58748        0.01765     1
   53874.684874       0.011560        7.95792        0.07907        0.71139     0
   53874.687669       0.003297        7.43865        0.22527        0.99892     1
   53876.191650       0.038885        9.22617        0.37621        0.04814     1
   53878.529989       0.106811       12.72534        0.05969        0.29022     0
   53879.575651       0.136152       14.03501        0.08246        0.09759     0
   53880.713498       0.270527       12.33458        0.05596        0.09376     0
   53880.914548       0.002789       10.57577        0.34912        0.99892     1
   53881.648894       0.270506       12.23231        0.05587        0.09384     0
   53882.756546       0.239945       10.85406        0.05379        0.10312     0
   53882.923780       0.000508        9.04171        0.64268        0.99892     1
   53883.152109       0.103212       10.94832        0.05597        0.24641     0
   53883.192015       0.063505       10.55266        1.61009        0.00165     1
   53884.156672       0.104413       10.14407        0.05942        0.18194     0
   53884.161704       0.039306        9.42603        0.16587        0.22740     1
   54273.153383       0.002513        7.15095        0.27151        0.98953     1
   54420.147509       0.039974        7.73414        0.12024        0.31485     1
   54427.131128       0.005636        9.19156        0.21019        0.99119     1
   54427.197116       0.006348        9.63769        0.20454        0.95667     1
   54434.755757       0.007437        9.96520        0.19609        0.99697     1
   54434.782890       0.036609       10.85734        0.13344        0.11192     0
   54744.284814       0.138079        7.05598        0.09383        0.14896     1
   54752.066250       0.034372        8.35880        0.15690        0.06870     0
   54752.070400       0.035849        7.81148        0.20675        0.13669     1
   54754.943607       0.033411        4.41182        0.87950        0.00245     0
   54754.946420       0.036183        5.93513        0.17055        0.15411     1
   54755.127149       0.067260        6.05197        0.18368        0.01838     0
   54755.128921       0.068996        5.66043        0.15619        0.07810     1
   54757.361214       0.034664        6.27817        0.15765        0.04790     0
   54757.363961       0.036023        6.38204        0.18723        0.11655     1
   54766.716480       0.000174        5.68691        0.49631        0.99104     0
   54766.722552       0.005883        5.50412        0.16311        0.98020     1
   54767.116410       0.000136        6.36883        0.55645        0.99260     0
   54767.122170       0.005607        5.32203        0.15382        0.98723     1
   54769.594830       0.000049        4.77352        0.93617        0.98606     0
   54769.601956       0.007059        4.54529        0.13397        0.98570     1
   54770.197475       0.000359        4.95030        0.31064        0.97997     0
   54770.203762       0.005912        4.52057        0.13718        0.93595     1
   54983.646841       0.067827        6.50480        0.15909        0.02892     0
   54983.651864       0.070361        5.98119        0.13251        0.12800     1
   54989.070607       0.005752        8.53297        0.10191        0.99748     0
   54996.282949       0.067659        7.80764        0.11272        0.08403     0
   54996.291594       0.072976        7.23586        0.10437        0.23651     1
   55005.016790       0.022972        7.50908        0.26185        0.03208     0
   55005.019032       0.024345        7.19642        0.19280        0.18549     1
   55007.565480       0.027280        9.19033        0.20786        0.07162     0
   55007.569580       0.028978        7.65931        0.23138        0.11730     1
   55010.004999       0.002658        8.87698        0.60640        0.26747     1
   55010.039489       0.035506        9.42682        0.09332        0.25232     0
   55013.187800       0.169852        9.00029        0.17706        0.01154     0
   55013.188974       0.170021        7.66004        0.24180        0.01951     1
   55016.528159       0.034306       11.11255        0.09954        0.27944     0
   55020.304518       0.002590       11.95788        0.18290        0.99689     0
   55020.309810       0.002687       11.55441        0.37228        0.99143     1
   55031.036966       0.006043        6.61238        0.17214        0.99243     1
   55038.933553       0.003490        7.69508        0.12544        0.99331     0
   55038.939357       0.002295        7.50918        0.31653        0.99461     1
   55045.343100       0.003750        9.29553        0.12919        0.99583     0
   55045.348421       0.001554        8.91104        0.37454        0.99514     1
   55052.830945       0.000174        7.87663        0.55757        0.99121     0
   55052.832848       0.001714        7.79239        0.33222        0.99452     1
   55059.590920       0.002025        8.89177        0.17326        0.99421     0
   55059.599240       0.006275        8.54197        0.19767        0.99530     1
   55066.113165       0.100023        9.76391        0.13269        0.06869     0
   55070.369158       0.007225        9.48400        0.10239        0.99519     0
   55087.057562       0.005634        6.27572        0.08592        0.99127     0
   55100.830201       0.141314        6.21565        0.03414        0.24972     0
   55318.545910       0.007546        4.58068        0.06487        0.98159     0
   55325.634663       0.006299        7.58477        0.09235        0.99219     0
   55332.388419       0.006016        6.10929        0.08290        0.99086     0
   55346.122632       0.006505        5.83091        0.08090        0.98710     0
   55353.617896       0.006392        4.96812        0.07478        0.98687     0
   55360.081057       0.036279        5.05100        0.07862        0.17016     0
   55367.669169       0.005952        4.08846        0.06896        0.98104     0
   55375.151577       0.006765        5.39203        0.07694        0.97947     0
   55381.308503       0.006739        5.97610        0.07797        0.99442     0
   55396.854561       0.006508        5.23090        0.07524        0.98933     0
   55404.002776       0.000436        5.73213        0.59286        0.99892     1
   55404.008580       0.004604        5.66328        0.09478        0.98869     0
   55409.023911       0.005929        4.61315        0.07484        0.98389     0
   55458.169853       0.037086        6.16384        0.07631        0.19693     0
   55463.692000       0.007283        9.23247        0.09177        0.99841     0
   55686.174317       0.006936        3.50927        0.05963        0.97414     0
   55693.191318       0.007286        2.54655        0.05072        0.97458     0
   55700.012592       0.005437        4.73430        0.08054        0.97765     0
   55714.953459       0.005547        4.96661        0.07923        0.98905     0
   55721.105888       0.005897        4.84710        0.07801        0.95977     0
   55728.585765       0.005897        2.71436        0.05834        0.96762     0
   55735.881369       0.006797        2.22729        0.04795        0.97531     0
   55742.418362       0.000315        2.62104        0.24173        0.96229     0
   55749.715615       0.005897        1.80476        0.04657        0.97547     0
   55763.447912       0.006212        2.95747        0.05857        0.97857     0
   55814.320239       0.105434       11.14251        0.10283        0.07808     0
   56036.519717       0.005778        9.32221        0.11909        0.99399     0
   56037.729286       0.008906        9.54716        0.08614        0.99805     0
   56051.427537       0.005752        7.90696        0.09642        0.99547     0
   56064.384025       0.006247        8.38278        0.09926        0.99676     0
   56067.391748       0.004080        6.95148        0.10702        0.99368     0
   56074.728664       0.035900        8.80357        0.08958        0.20646     0
   56075.460762       0.235058        6.08687        0.08149        0.02727     0
   56076.698022       0.005408        4.39948        0.07551        0.98448     0
   56078.439555       0.006039        7.58435        0.09364        0.99473     0
   56079.639530       0.070174        7.11543        0.08329        0.12335     0
   56094.393560       0.005726        5.99382        0.08787        0.98535     0
   56107.363439       0.005984       10.75661        0.11704        0.99758     0
   56128.362025       0.136542        8.32351        0.21540        0.04129     0
   56135.104885       0.006904        5.49086        0.07634        0.98575     0
   56179.942411       0.005466        4.27776        0.07453        0.98782     0
   56196.377691       0.339667        3.28537        0.05170        0.02543     0
   56420.495185       0.006189        3.46751        0.06239        0.97709     0
   56440.912274       0.038163        5.92225        0.07014        0.21037     0
   56443.578926       0.100223        5.39946        0.08254        0.05575     0
   56449.892966       0.001473        6.61090        0.20146        0.98846     0
   56461.371593       0.006183        8.01324        0.09405        0.99719     0
   56472.441403       0.005564        7.51775        0.09651        0.99272     0
   56476.372433       0.005347        7.92571        0.09978        0.99513     0
   56478.840143       0.003611        8.07960        0.12090        0.99789     0
   56479.312364       0.005694        7.21782        0.09258        0.99593     0
   56492.551343       0.005605        8.39048        0.09842        0.99484     0
   56499.629949       0.006157        7.64353        0.09247        0.99389     0
   56544.418258       0.203267        8.36658        0.09990        0.02865     0
   56549.691634       0.006273        8.04939        0.09404        0.99400     0
   56556.217175       0.006418        9.12959        0.09649        0.99910     0
   56563.692745       0.006560        6.95096        0.08702        0.99427     0
   56572.105529       0.006247        9.58172        0.10537        0.99491     0
   56779.289570       0.270130        3.57416        0.06594        0.02233     0
   56786.881629       0.003843        3.03385        0.07622        0.97738     0
   56793.733103       0.004369        2.98119        0.06905        0.97312     0
   56807.951247       0.005668        2.74800        0.06042        0.97243     0
   56821.139311       0.005813        3.68839        0.10837        0.94226     0
   56842.192063       0.005813        4.40953        0.07818        0.97760     0
   56848.557566       0.036155        3.29227        0.08131        0.14143     0
   56856.743407       0.070460        4.45293        0.06551        0.10342     0
   56863.532239       0.005255        5.76644        0.08800        0.98513     0
   56868.735517       0.008183        4.18004        0.06125        0.97737     0
   56871.957725       0.029074        4.14699        0.06431        0.28802     0
   56874.186642       0.008498        5.24874        0.06469        0.98468     0
   56877.858567       0.008793        6.50876        0.07162        0.99079     0
   56880.389904       0.008675        5.93376        0.07187        0.98699     0
   56913.446438       0.003325        5.95667        0.11255        0.98398     0
   56917.144947       0.032118        5.13458        0.06916        0.33261     0
   56917.183071       0.005781        5.18678        0.09629        0.97397     0
   56922.142834       0.034227        6.20766        0.07244        0.35253     0
   56922.246454       0.003553        5.47971        0.10408        0.98337     0
   57045.203772       0.172587        4.89432        0.05274        0.06962     0
   57052.084548       0.074465        4.19400        0.05176        0.14404     0
   57068.112028       0.034560        6.37962        0.09731        0.12832     0
   57071.540944       0.007662        5.55117        0.07092        0.98905     0
   57073.906489       0.037002        5.60649        0.06929        0.22239     0
   57080.156410       0.039227        4.79859        0.05864        0.24680     0
   57087.900233       0.398336        9.73707        0.09513        0.01936     0
   57091.492915       0.003614       11.96181        0.15009        0.99914     0
   57097.511522       0.042624        8.62834        0.09510        0.25609     0
   57099.470274       0.465139        7.06781        0.08300        0.01973     0
   57150.243108       0.004769        6.43174        0.09473        0.99150     0
   57171.617155       0.005058        5.46522        0.08771        0.98913     0
   57178.935755       0.003125        4.57958        0.10374        0.98639     0
   57185.716732       0.005466        4.44521        0.07518        0.98306     0
   57219.644597       0.002633        4.10486        0.35370        0.89722     0
   57227.856788       0.034517        4.57768        0.16551        0.03416     0
   57235.937077       0.003183        6.97029        0.20391        0.95769     0
   57249.526277       0.030654        7.58327        0.09963        0.18076     0
   57254.935037       0.005234        8.55514        0.10461        0.99502     0
   57259.360473       0.099225        8.18736        0.11238        0.04288     0
   57270.817742       0.035700       10.31520        0.10169        0.19128     0
   57273.049348       0.005489       11.63214        0.11813        0.99895     0
   57274.213410       0.101131        9.33312        0.10986        0.05386     0
   57276.831953       0.001383        8.83677        0.20674        1.00000     0
   57281.883702       0.005868        9.33073        0.10248        0.99803     0
   57302.154730       0.008464       13.14467        0.11882        0.71461     0
   57304.142541       0.005781        9.73308        0.10502        0.99750     0
   57306.173585       0.036803       13.32684        0.13214        0.15126     0
   57307.142617       0.005955       11.21499        0.17409        0.97425     0
   57308.136057       0.005576       11.23175        0.11982        0.99844     0
   57311.997914       0.005553       11.66627        0.11775        0.99792     0
   57314.283580       0.034699       10.16533        0.08020        0.33154     0
   57321.790000       0.005113       12.77284        0.25834        0.99925     1
   57322.856913       0.004855        9.37048        0.11283        0.99702     0
   57325.051260       0.000813        9.23453        0.51590        0.99090     1
   57326.483275       0.036861       13.56690        0.10626        0.21121     0
   57328.543288       0.371288        9.33852        0.10953        0.01479     0
   57332.090355       0.007517       12.20872        0.11039        0.99885     0
   57332.431246       0.003457       12.46862        0.30948        0.99710     1
   57333.089320       0.009248       18.51845        0.59773        0.80851     0
   57334.112933       0.034253       11.49222        0.08133        0.33798     0
   57335.744156       0.005839       10.22503        0.16070        0.97820     0
   57338.673263       0.001560       10.55118        0.21842        0.99576     0
   57341.934184       0.006097       17.08798        0.16474        0.99668     0
   57342.981957       0.005781        8.98770        0.10311        0.99750     0
   57344.058573       0.006707       12.30844        0.10923        0.99957     0
   57347.913079       0.005639        7.54433        0.09398        0.99333     0
   57350.897612       0.005839        6.37814        0.09043        0.98457     0
   57353.350759       0.005935       19.15981        0.15113        0.99951     0
   57354.081617       0.005781       14.55501        0.22423        0.97598     0
   57355.076658       0.005781       10.96544        0.11369        0.99900     0
   57356.813549       0.005891        8.19867        0.09777        0.99509     0
   57359.599484       0.006065       10.24912        0.10804        0.99714     0
   57363.061380       0.003209       10.76976        0.15167        0.99825     0
   57373.981423       0.004685       11.87142        0.12889        0.99753     0
   57379.363612       0.005813       11.99824        0.11699        0.99851     0
   57382.750408       0.005813       23.21657        0.16169        1.00000     0
   57384.914380       0.026076       17.97384        0.14302        0.22104     0
   57386.803782       0.006594       13.45922        0.13160        0.99868     0
   57388.075110       0.003961       14.37355        0.15472        0.99979     0
   57389.467936       0.005639        8.27355        0.09876        0.99590     0
   57390.469882       0.005810        7.39329        0.10172        0.99054     0
   57391.388749       0.005666        9.55675        0.10526        0.99694     0
   57394.075979       0.037196        5.97170        0.07062        0.21798     0
   57397.101336       0.005579        9.16221        0.10508        0.99741     0
   57400.763971       0.002486        8.06699        0.14775        0.99532     0
   57403.613376       0.007457        5.00615        0.06870        0.98719     0
   57406.814979       0.000289        4.40690        0.32959        0.98045     0
   57409.002760       0.000436        7.40656        0.62523        0.99892     1
   57409.007411       0.003701        8.75999        0.12452        0.99571     0
   57413.686430       0.103805        3.40740        0.04762        0.10045     0
   57416.574145       0.003640        4.03006        0.08805        0.98686     0
   57427.732686       0.171435        7.25058        0.07258        0.05355     0
   57431.119961       0.637674        8.58162        0.11051        0.01274     0
   57433.451446       0.036745        8.06934        0.07877        0.23252     0
   57436.606585       0.007289        8.04980        0.08501        0.99563     0
   57440.721060       0.008759        7.60763        0.07700        0.99306     0
   57442.978180       0.008585       10.79885        0.09254        0.99764     0
   57445.769977       0.008475       10.13575        0.09020        0.99727     0
   57448.201304       0.036889       10.94385        0.09956        0.22101     0
   57451.523810       0.101146       10.47717        0.09024        0.09286     0
   57454.808416       0.006826        7.49811        0.08502        0.99618     0
   57461.713153       0.008325        7.68490        0.08062        0.99444     0
   57508.167053       0.005784       13.43246        0.12462        0.99950     0
   57508.402607       0.036704       13.68093        0.11351        0.18845     0
   57509.177948       0.005376       13.23993        0.13069        0.99946     0
   57509.429354       0.005350       11.27363        0.11960        0.99784     0
   57510.162645       0.005379        8.77488        0.10465        0.99623     0
   57510.433768       0.005784        7.31170        0.09527        0.98849     0
   57511.160681       0.005955        7.69409        0.09309        0.99466     0
   57511.429480       0.006591        7.64725        0.08796        0.99605     0
   57512.164374       0.005726        7.53922        0.09317        0.99394     0
   57512.426492       0.005437        7.37976        0.12978        0.97445     0
   57514.756241       0.005521        7.42130        0.09771        0.99214     0
   57517.136023       0.004222        9.20913        0.12049        0.99807     0
   57531.181104       0.005697       10.18252        0.10988        0.99949     0
   57535.637421       0.005634       13.12456        0.12679        0.99795     0
   57543.279134       0.005781       12.21770        0.17049        0.98849     0
   57545.068350       0.005231       16.27452        0.14821        1.00000     0
   57545.655226       0.005781       18.57792        0.14454        0.99950     0
   57546.228239       0.103669       16.36095        0.12743        0.06430     0
   57546.568872       0.035295       16.13302        0.13634        0.16030     0
   57547.166986       0.037856       16.77558        0.13779        0.15642     0
   57547.994715       0.005286       19.68032        0.15621        1.00000     0
   57548.059585       0.005694       20.54920        0.15652        1.00000     0
   57548.845404       0.005781       20.92770        0.15546        1.00000     0
