/*
**
**  Swift/XRT light curve for 3C 120.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54187.489184       0.466345        2.01537        0.26460        0.00043     0
   54187.498205       0.475317        1.34141        0.02144        0.07630     1
   54311.485213       0.474445        2.64738        0.05143        0.05073     1
   54665.748603       0.234413        1.74979        0.21946        0.00109     0
   54665.754357       0.240062        1.83092        0.03435        0.14574     1
   54688.996500       0.975893        2.08044        0.02059        0.11562     1
   55252.406562       0.099667        2.17460        0.45674        0.00080     0
   55252.410067       0.103102        1.26051        0.04206        0.12366     1
   55252.712846       0.008686        1.36257        0.04406        0.97196     1
   55800.261198       0.007517        1.29860        0.05101        0.93034     0
   55800.328904       0.006508        1.18356        0.03884        0.94486     0
   55897.659325       0.039256        1.43469        0.03139        0.27004     0
   55901.354812       0.037532        1.56096        0.03453        0.25226     0
   55909.377081       0.239583        2.12088        0.04640        0.05100     0
   55913.687500       0.272222        1.82234        0.03850        0.04403     0
   55918.199610       0.105226        1.49733        0.03393        0.10383     0
   55921.944075       0.038559        1.69274        0.03281        0.28525     0
   55925.455260       0.339870        1.85656        0.03349        0.03375     0
   55929.451418       0.006884        1.60516        0.04211        0.95670     0
   55933.798269       0.005177        1.79835        0.05178        0.95416     0
   55937.556868       0.272269        1.49704        0.02961        0.04405     0
   55941.319056       0.040651        1.55890        0.03499        0.35470     0
   55945.093717       0.002682        1.54228        0.06464        0.96467     0
   55949.142500       0.042225        1.79267        0.03205        0.28682     0
   55953.360207       0.177297        1.72566        0.03161        0.06692     0
   55957.137367       0.080677        1.46150        0.02840        0.16461     0
   55961.191996       0.169780        2.53969        0.04362        0.05497     0
   55965.637758       0.069881        2.31638        0.03646        0.17444     0
   55973.610981       0.308461        2.24285        0.03399        0.04342     0
   55977.126264       0.004942        1.90773        0.05287        0.95785     0
   55981.191784       0.003122        2.27087        0.15370        0.92045     0
   55985.109401       0.040596        1.93093        0.03311        0.29522     0
   55989.420572       0.009282        1.56342        0.03627        0.95324     0
   55993.729895       0.167297        1.72083        0.03235        0.07080     0
   55997.524041       0.336348        1.46589        0.02593        0.04510     0
   56001.214729       0.038712        1.91946        0.03684        0.25218     0
   56005.222624       0.035958        2.18142        0.04364        0.22693     0
   56009.314144       0.176832        2.16813        0.03541        0.06861     0
   56017.862125       0.039954        1.28406        0.02718        0.30081     0
   56019.725746       0.032491        1.47216        0.09464        0.03488     0
   56019.732978       0.037142        1.25959        0.03671        0.30180     1
   56023.251128       0.075939        1.71924        0.05851        0.15601     1
   56027.620817       0.040279        2.16389        0.06231        0.32905     1
   56276.708787       0.032891        2.08471        0.41762        0.00277     0
   56276.711953       0.035965        2.02237        0.05547        0.34079     1
   56281.862790       0.100839        1.46139        0.36529        0.00078     0
   56281.868523       0.106443        1.91521        0.06272        0.10687     1
   56288.647395       0.075506        1.51937        0.02580        0.21416     0
   56291.265293       0.033339        2.66804        0.64986        0.00134     0
   56291.269830       0.037795        2.88588        0.06816        0.37728     1
   56296.742441       0.033753        2.27522        0.42557        0.00278     0
   56296.747643       0.038914        1.93062        0.06589        0.28747     1
   56301.117265       0.066389        2.44991        0.42688        0.00177     0
   56301.121367       0.070289        1.85340        0.05893        0.16506     1
   56302.858318       0.069450        2.46585        0.02815        0.31255     0
   56306.093604       0.032312        2.93636        0.56440        0.00205     0
   56306.100830       0.039422        2.40389        0.07162        0.27658     1
   56311.345661       0.140150        2.45142        0.26647        0.00173     0
   56311.351461       0.145748        2.05349        0.05935        0.09231     1
   56316.250345       0.038507        2.29451        0.03852        0.27624     0
   56316.728491       0.041644        2.10065        0.03564        0.27857     0
   56321.387855       0.033620        2.25143        0.22208        0.00935     0
   56321.392451       0.038100        1.95370        0.05877        0.27298     1
   56326.883638       0.040642        2.29102        0.06339        0.32837     1
   56329.717867       0.128600        2.14317        0.28217        0.00144     0
   56329.720372       0.131063        2.29289        0.07084        0.08210     1
   56330.305458       0.203527        2.40978        0.04881        0.03458     0
   56330.377219       0.340828        1.94756        0.03308        0.03651     0
   56331.612900       0.040541        2.22577        0.06582        0.26922     1
   56336.689266       0.040006        3.26827        0.63603        0.00135     0
   56336.695130       0.045828        2.73005        0.07560        0.24259     1
   56339.790636       0.196302        2.79039        0.65088        0.00024     0
   56339.797203       0.202790        2.16747        0.06903        0.05540     1
   56344.375006       0.167335        1.79551        0.03134        0.07562     0
   56344.711110       0.110388        1.61802        0.04274        0.10782     0
   56346.237840       0.037098        2.35868        0.06952        0.30420     1
   56351.420256       0.205694        2.03280        0.29476        0.00079     0
   56351.424666       0.210038        2.18356        0.06197        0.06274     1
   56356.427638       0.072025        2.07057        0.39132        0.00127     0
   56356.432374       0.076607        1.86371        0.05507        0.18456     1
   56361.671443       0.036632        1.79109        0.30618        0.00367     0
   56361.674729       0.039814        1.50536        0.04012        0.28397     1
   56366.404979       0.038754        2.04670        0.06728        0.26932     1
   56371.587684       0.204838        2.42995        0.42634        0.00047     0
   56371.592543       0.209530        2.16461        0.06014        0.06653     1
   56376.087947       0.038405        2.33671        0.07264        0.27061     1
   56934.260439       0.068825        2.30707        0.05074        0.15742     0
   56937.743996       0.038626        1.97065        0.03767        0.26977     0
   56938.513122       0.007624        3.49148        0.12380        0.90968     0
   57484.640178       0.172312        2.15484        0.07468        0.08432     0
   57485.002760       0.000436        2.09667        0.34013        0.96559     1
   57486.632512       0.565376        1.88551        0.03416        0.02902     0
   57583.535713       0.036481        1.42453        0.03826        0.18356     0
   57585.355187       0.006620        1.49109        0.04073        0.95061     0
   57587.758133       0.006441        1.56263        0.04194        0.95687     0
   57589.608915       0.005663        1.99605        0.05906        0.94073     0
   57591.067983       0.005611        1.62851        0.04846        0.96132     0
   57594.133345       0.006936        1.43429        0.03917        0.95656     0
   57596.288143       0.235425        1.51370        0.04346        0.02781     0
   57599.847067       0.005694        1.59431        0.04505        0.95935     0
   57601.902192       0.003542        1.20512        0.18928        0.07011     0
   57603.961224       0.006131        1.63116        0.04364        0.96555     0
   57605.031199       0.006991        1.58948        0.04104        0.95033     0
   57607.083183       0.006386        1.54466        0.04142        0.96420     0
   57609.386192       0.161713        1.46389        0.03751        0.04522     0
   57611.737838       0.005868        1.80888        0.04702        0.96252     0
   57613.596807       0.005955        2.09314        0.05090        0.96307     0
   57616.136588       0.005752        1.62409        0.04494        0.96026     0
   57618.260158       0.005781        1.96276        0.10726        0.90384     0
   57620.256652       0.005842        1.74749        0.04620        0.96483     0
   57623.309651       0.005639        2.41703        0.09277        0.92766     0
   57627.262283       0.240454        1.86670        0.04359        0.02834     0
   57628.785660       0.698336        1.96185        0.03892        0.01309     0
   57631.002760       0.000436        1.71418        0.30607        0.96559     1
   57631.273363       0.269653        2.07911        0.04373        0.02762     0
   57633.136902       0.001953        1.95422        0.08511        0.95205     0
   57635.330271       0.005836        1.82878        0.04756        0.95092     0
   57638.118998       0.005764        1.61418        0.04458        0.96185     0
   57640.449899       0.005605        1.62682        0.04611        0.94837     0
   57643.175051       0.006157        1.08666        0.03861        0.94173     0
   57644.037167       0.005871        1.07100        0.03908        0.94135     0
   57646.769708       0.005978        1.15628        0.04027        0.94046     0
   57649.759144       0.006126        1.54289        0.04227        0.96174     0
   57651.154058       0.005663        1.69790        0.05166        0.94481     0
   57654.667743       0.005836        1.54541        0.04354        0.96182     0
   57656.522810       0.005663        1.80991        0.04771        0.97190     0
   57658.716596       0.005608        1.51009        0.04554        0.94014     0
   57660.784766       0.005460        1.74119        0.05241        0.95231     0
   57664.047520       0.005958        1.76492        0.04637        0.95726     0
   57666.105386       0.005726        1.40802        0.04220        0.95553     0
   57668.417600       0.005315        1.74131        0.04912        0.96189     0
   57671.086467       0.005830        1.68544        0.04643        0.95831     0
   57673.078916       0.005781        1.69119        0.04844        0.95646     0
   57678.591877       0.006039        1.78150        0.04618        0.95448     0
   57681.576133       0.005781        2.41169        0.06673        0.95245     0
   57684.697682       0.006479        1.71354        0.04402        0.95623     0
   57686.094207       0.005778        1.74692        0.04651        0.96595     0
   57688.400346       0.237112        1.44574        0.04165        0.02440     0
   57690.213433       0.005984        2.09217        0.05142        0.94294     0
   57693.600421       0.005602        1.88203        0.04963        0.96694     0
   57695.334784       0.005495        1.92294        0.05021        0.95682     0
   57697.255564       0.003212        1.62052        0.06160        0.93874     0
   57699.050666       0.005550        1.88194        0.04986        0.96298     0
   57701.936577       0.035625        1.88845        0.05001        0.14990     0
   57703.500190       0.006042        2.01730        0.04851        0.96983     0
   57705.207765       0.165804        1.86666        0.04733        0.03439     0
   57709.490684       0.000255        1.90915        0.23742        0.93311     0
   57711.276131       0.005781        1.71749        0.04663        0.95295     0
   57713.448709       0.035301        1.87343        0.06017        0.15154     0
   57717.324845       0.005694        1.41839        0.04267        0.96189     0
   57719.713252       0.138134        1.33212        0.03642        0.05048     0
   57721.378414       0.002833        1.49328        0.06205        0.96180     0
   57723.977555       0.005784        1.62597        0.04935        0.95498     0
   57726.038576       0.005842        1.92274        0.04955        0.95641     0
   57728.761209       0.006126        1.90566        0.04735        0.96174     0
   57730.277517       0.005781        2.00211        0.05131        0.95796     0
   57733.666660       0.006241        2.38989        0.05331        0.95967     0
   57736.590168       0.006363        2.03033        0.05213        0.96407     0
   57739.524960       0.004884        2.23684        0.05903        0.96268     0
   57741.780528       0.003556        2.37461        0.06982        0.95071     0
   57743.437586       0.006126        2.04521        0.04905        0.96221     0
   57745.089860       0.001389        1.78892        0.09860        0.94392     0
   57748.681368       0.005405        1.87975        0.05006        0.95717     0
   57750.675465       0.006447        1.81982        0.04558        0.94883     0
   57752.070083       0.005576        1.93194        0.05176        0.95641     0
   57754.595322       0.005373        1.59746        0.04704        0.95315     0
   57756.599898       0.004945        1.77045        0.05173        0.93915     0
   57758.700503       0.035613        2.08236        0.06458        0.12830     0
   57760.708843       0.005697        2.10662        0.05180        0.96343     0
   57764.231128       0.005666        1.51426        0.04396        0.95659     0
   57768.352177       0.006152        2.03944        0.04874        0.96707     0
   57770.889219       0.005897        1.93003        0.04908        0.95240     0
   57772.544906       0.198822        2.09740        0.05142        0.02773     0
   57774.665061       0.005755        1.85946        0.04855        0.95827     0
   57776.333978       0.006276        2.14846        0.05037        0.95436     0
   57778.980291       0.005781        1.93018        0.04920        0.95696     0
   57781.305071       0.005793        1.88484        0.04873        0.96304     0
   57783.165514       0.005984        1.92000        0.04813        0.96180     0
   57785.889680       0.005460        2.31366        0.05539        0.96873     0
   57787.950108       0.006100        2.48171        0.05443        0.95256     0
   57791.736727       0.006331        1.92589        0.04682        0.96618     0
   57793.668641       0.006363        1.61912        0.04297        0.95089     0
   57795.260678       0.005958        1.72831        0.04589        0.96115     0
   57797.184336       0.005929        1.66083        0.04549        0.95608     0
   57799.642894       0.006392        1.54037        0.04189        0.95292     0
   57801.502627       0.004974        1.64936        0.04986        0.96742     0
   57803.429991       0.006100        1.75148        0.04549        0.95588     0
   57805.422715       0.005747        1.57290        0.06210        0.92246     0
   57807.623354       0.006505        1.85890        0.04536        0.95552     0
   57809.277694       0.005611        1.55842        0.04474        0.95565     0
   57811.407026       0.006160        1.37594        0.04009        0.96148     0
   57813.994127       0.005868        1.31485        0.04837        0.93393     0
   57815.386923       0.000434        1.05067        0.14334        0.91638     0
   57818.655474       0.005637        2.34407        0.07211        0.93378     0
   57822.298294       0.005165        1.63349        0.05078        0.92829     0
   57825.166022       0.006160        1.52325        0.04268        0.95538     0
   57827.552056       0.005547        1.53681        0.04791        0.94314     0
   57829.075552       0.005697        1.81425        0.04836        0.94921     0
   57831.268007       0.005582        1.20045        0.04267        0.93053     0
   57833.327173       0.006131        1.22099        0.04127        0.93629     0
   57835.656860       0.005608        1.18262        0.04255        0.94169     0
   57837.317405       0.006189        1.21088        0.08314        0.92006     0
   57840.446665       0.006102        1.56162        0.04344        0.95164     0
   58195.949297       0.005767        1.52076        0.05929        0.98003     1
   59174.125221       0.005318        1.53911        0.04719        0.93852     0
   59174.855412       0.004968        1.48030        0.04913        0.93302     0
   59175.398630       0.006183        1.70610        0.04592        0.93255     0
   59176.050410       0.005813        1.79378        0.04769        0.94574     0
   59176.989274       0.005862        1.84081        0.04758        0.96150     0
   59177.779460       0.005923        1.73247        0.04610        0.95799     0
   59178.307626       0.005550        1.56485        0.04755        0.92388     0
   59179.104088       0.006331        1.75925        0.04559        0.94059     0
   59179.635670       0.005955        2.09819        0.05128        0.95384     0
   59180.100181       0.003987        1.83773        0.06203        0.92896     0
   59180.829576       0.004456        2.23180        0.05967        0.96515     0
   59181.497598       0.003788        2.08771        0.06352        0.95411     0
   59185.082595       0.004887        1.89525        0.05588        0.93546     0
   59185.743896       0.006102        2.21833        0.05366        0.94737     0
   59186.420633       0.005749        2.23331        0.05341        0.95320     0
   59186.941482       0.005003        2.43046        0.05913        0.96761     0
   59187.641498       0.295972        2.19900        0.05690        0.01787     0
   59188.328814       0.003096        2.75730        0.16067        0.88327     0
   59188.732244       0.003843        2.40046        0.06758        0.95804     0
   59189.855897       0.003096        1.53849        0.08346        0.91974     0
