/*
**
**  Swift/XRT light curve for 3C 66A.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53550.589330       0.132812        0.19264        0.02424        0.02074     0
   53550.591798       0.135232        0.17339        0.00679        0.20334     1
   53702.500478       1.446823        0.44743        0.04527        0.00125     0
   53702.505986       1.452299        0.18825        0.00224        0.19119     1
   54741.376561       0.033707        1.50333        0.39921        0.00207     0
   54741.378660       0.035689        0.69112        0.02223        0.30987     1
   54742.896427       0.607687        0.56373        0.01290        0.04168     1
   54744.296411       0.138965        0.37587        0.01548        0.10569     1
   54745.334073       0.104075        0.36502        0.01305        0.17724     1
   55181.341353       0.241282        0.24996        0.01438        0.05619     1
   55501.717843       0.071698        0.12546        0.00703        0.26008     1
   55508.688491       0.004416        0.11849        0.01444        0.96274     1
   55510.946797       0.007350        0.14481        0.01237        0.94214     1
   55783.951339       0.041703        0.08930        0.00639        0.38216     1
   55960.816768       0.070695        0.07709        0.00993        0.08733     1
   56182.218585       0.005709        0.09838        0.01160        0.95523     1
   56210.406341       0.005418        0.15900        0.01541        0.94062     1
   56217.362280       0.006449        0.12762        0.01245        0.94216     1
   56223.386788       0.005534        0.07872        0.01095        0.93173     1
   56265.185988       0.007030        0.08697        0.00973        0.96064     1
   56272.165400       0.035980        0.08160        0.01097        0.18607     1
   56278.223762       0.007452        0.17058        0.01318        0.94325     1
   56574.318707       0.005563        0.24554        0.01813        0.95525     1
   56577.327470       0.000276        0.40035       -1.00000        0.92311     1
   56601.283238       0.001467        0.10761        0.02469        0.90304     1
   56604.282630       0.005549        0.12234        0.01326        0.96476     1
