/*
**
**  Swift/XRT light curve for 4C 31.03.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54984.595403       0.137193        0.19622        0.00892        0.13043     1
   55074.285591       0.209515        0.08322        0.00582        0.08970     1
   59948.177320       0.038260        1.05524        0.03252        0.38208     1
   59951.502572       0.109188        0.48703        0.01621        0.12096     1
   59954.175546       0.066091        0.42490        0.02072        0.13953     1
   59957.529615       0.042560        0.33369        0.01381        0.30252     1
   59960.832108       0.565084        0.24331        0.01257        0.02890     1
   59963.417008       0.108680        0.13623        0.00967        0.11170     1
   59966.593301       0.305993        0.14306        0.00839        0.04981     1
   59969.479710       0.205695        0.07692        0.00605        0.08177     1
