/*
**
**  Swift/XRT light curve for B2 0619+33.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   55448.565718       0.434210        0.01339        0.00165        0.09379     1
   55451.747335       0.410257        0.01863        0.00305        0.03817     1
   55488.342803       0.340462        0.01299        0.00156        0.12978     1
   55508.530540       0.436781        0.02129        0.00232        0.08166     1
   55509.492696       0.007974        0.02249        0.00479        0.98140     1
   55528.460644       0.176121        0.03390        0.00291        0.26651     1
   55548.715095       0.002237        0.03817       -1.00000        0.97545     1
   55559.231282       0.102041        0.01201       -1.00000        0.04203     1
   55565.696933       0.000959        0.04055       -1.00000        0.98377     1
   55567.812787       0.033728        0.01568       -1.00000        0.09740     1
   55572.652685       0.202136        0.00671        0.00225        0.07312     1
