/*
**
**  Swift/XRT light curve for BL Lacertae.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53577.494321       0.468759        0.81835        0.16236        0.00050     0
   53577.494381       0.468795        0.47524        0.03368        0.00688     1
   53671.241368       0.200715        0.57040        0.10549        0.00208     0
   53671.244630       0.203952        0.48882        0.01551        0.09539     1
   53672.372559       0.033669        0.61123        0.04048        0.08858     0
   53673.575213       0.036557        0.54597        0.03108        0.13222     0
   53673.610298       0.001380        0.40508        0.07300        0.45211     1
   53674.502858       0.029051        0.44572        0.02161        0.30448     1
   53675.330879       0.069083        0.50037        0.02460        0.09185     1
   53676.364370       0.034144        0.38872        0.09382        0.01447     0
   53676.366864       0.036575        0.46489        0.02960        0.15463     1
   53677.481905       0.072221        0.42379        0.01417        0.20904     1
   53682.401705       0.047527        0.39897        0.01044        0.55803     1
   53883.410180       0.097850        0.54480        0.08118        0.00680     0
   53883.416934       0.103145        0.35613        0.01041        0.24488     1
   53883.423877       0.096565        0.45196        0.07715        0.00554     0
   53883.431032       0.103683        0.39428        0.01122        0.21281     1
   54350.692602       0.069897        0.40436        0.02276        0.07944     1
   54354.571409       0.002876        0.40850        0.03261        0.96623     1
   54355.579399       0.004619        0.32584        0.02383        0.97583     1
   54359.729738       0.003573        0.36471        0.02904        0.96378     1
   54370.745952       0.036648        0.37492        0.01844        0.29288     1
   54698.779943       0.139459        0.21379        0.00805        0.20355     1
   54699.670254       0.173463        0.26945        0.00914        0.16674     1
