/*
**
**  Swift/XRT light curve for CTA102.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53509.695168       0.304802        0.14731        0.00591        0.09746     1
   54210.380812       0.139967        0.15656        0.00742        0.21196     1
   54212.124490       0.071320        0.16538        0.01033        0.15482     1
   54214.399767       0.002891        0.18608        0.02161        0.98995     1
   54221.390151       0.378548        0.15338        0.00518        0.11641     1
   55055.071767       0.070594        0.12758        0.01058        0.11895     1
   55060.476461       0.472731        0.11486        0.00541        0.06673     1
   55083.748472       0.174407        0.11169        0.00458        0.22546     1
   55164.316051       0.234630        0.08004        0.00527        0.09219     1
   55212.570063       0.240977        0.12072        0.00462        0.17369     1
   55501.398307       0.103741        0.08958        0.00678        0.13724     1
   55717.561680       0.208426        0.11727        0.00787        0.07879     1
   55731.605953       0.068328        0.10346        0.00672        0.24494     1
   55808.874932       0.072918        0.09518        0.00641        0.30163     1
   55818.537688       0.376878        0.10095        0.00648        0.05553     1
   55823.254257       0.133910        0.10279        0.00749        0.15423     1
   55824.383940       0.327854        0.10800        0.00718        0.05022     1
   55825.732824       0.069940        0.10265        0.00647        0.25979     1
   55826.530392       0.141100        0.09193        0.00572        0.14708     1
   55827.262013       0.146983        0.09775        0.00660        0.12440     1
   55828.567988       0.176426        0.09756        0.00554        0.13174     1
   55829.808409       0.142233        0.10112        0.00606        0.14743     1
   55830.207046       0.204722        0.09287        0.00554        0.10819     1
   55831.400846       0.140810        0.07209        0.00650        0.15224     1
   55832.653923       0.105789        0.10939        0.00628        0.19237     1
   55833.516195       0.111570        0.11253        0.00633        0.19499     1
   55834.390518       0.235835        0.10207        0.00607        0.08691     1
   55835.446594       0.171386        0.11275        0.00602        0.13551     1
   55836.552357       0.067732        0.10863        0.00728        0.23530     1
   55845.357914       0.109391        0.14875        0.00910        0.19564     1
   55850.469232       0.281387        0.16626        0.00718        0.08247     1
   55901.451088       0.439163        0.14991        0.00774        0.04877     1
   56041.104385       0.039277        0.14901        0.00982        0.28467     1
   56042.480281       0.475215        0.16080        0.00712        0.05806     1
   56177.265664       0.000697        0.17297        0.04325        0.98250     1
   56182.085049       0.005883        0.28188        0.01863        0.98269     1
   56190.799290       0.044317        0.32612        0.01031        0.51692     1
   56193.173900       0.005767        0.52583        0.02656        0.96753     1
   56195.436176       0.006871        0.44430        0.02815        0.97494     1
   56199.877640       0.102158        0.43816        0.01198        0.26911     1
   56201.379371       0.006043        0.39279        0.02220        0.97627     1
   56203.258809       0.005738        0.38394        0.02247        0.97714     1
   56205.192912       0.005665        0.37251        0.02196        0.97385     1
   56241.096957       0.024069        0.40270        0.02269        0.23533     1
   56243.601351       0.009485        0.35575        0.02158        0.58741     1
   56244.201681       0.007350        0.40406        0.02075        0.97443     1
   56245.336492       0.007916        0.45224        0.02048        0.97038     1
   56246.870387       0.129596        0.40944        0.02287        0.04350     1
   56247.071084       0.006682        0.42670        0.02137        0.98703     1
   56248.273638       0.006173        0.32775        0.01958        0.97400     1
   56249.675937       0.005970        0.43005        0.02287        0.97793     1
   56250.024082       0.005752        0.42583        0.02306        0.98636     1
   56251.243294       0.037243        0.36093        0.01868        0.19958     1
   56275.058534       0.005302        0.21755        0.01725        0.97534     1
   56436.866755       0.006115        0.17944        0.01461        0.98294     1
   56463.469986       0.442475        0.25399        0.01181        0.03875     1
   56466.216354       0.041964        0.20333        0.01156        0.39987     1
   56958.678618       0.074879        0.24343        0.00806        0.37350     1
   56960.484825       0.076244        0.23021        0.00778        0.36728     1
   57362.898624       0.101126        0.28592        0.01438        0.10982     1
   57364.611186       0.075591        0.20882        0.01214        0.13582     1
   57365.763608       0.236358        0.26141        0.01299        0.04752     1
   57368.361035       0.037766        0.23707        0.01359        0.24550     1
   57370.595484       0.009354        0.21754        0.01360        0.96562     1
   57374.974971       0.075024        0.23159        0.01285        0.13532     1
   57386.007088       0.004764        0.25085        0.03221        0.91520     1
   57387.733500       0.005767        0.32376        0.02083        0.96500     1
   57388.876168       0.006420        0.25407        0.01887        0.97281     1
   57389.337055       0.004852        0.23433        0.02097        0.97949     1
   57390.602510       0.006493        0.25423        0.01692        0.98412     1
   57560.678685       0.005752        0.42426        0.02338        0.99458     1
   57569.963172       0.306110        0.37435        0.02610        0.01569     1
   57624.915998       0.035399        0.46749        0.01934        0.26253     1
   57625.444773       0.100356        0.44571        0.01840        0.09491     1
   57626.981442       0.038681        0.43651        0.01737        0.27402     1
   57627.946996       0.008526        0.50553        0.02267        0.97733     1
   57628.179126       0.166665        0.41543        0.01710        0.07255     1
   57629.009848       0.070841        0.43590        0.01602        0.22456     1
   57630.936646       0.009151        0.37045        0.01722        0.99047     1
   57631.962339       0.037679        0.38040        0.01781        0.31761     1
   57633.096389       0.036778        0.37077        0.01567        0.30511     1
   57633.958521       0.041586        0.41579        0.01651        0.26656     1
   57634.794364       0.005621        0.47963        0.02794        0.97193     1
   57635.648418       0.005055        0.40632        0.02410        0.98563     1
   57639.900755       0.005767        0.36263        0.02287        0.96754     1
   57643.432855       0.005316        0.33623        0.02141        0.97033     1
   57645.524068       0.168277        0.34704        0.02061        0.03659     1
   57648.471865       0.005186        0.46255        0.02557        0.97458     1
   57651.324062       0.005796        0.49051        0.02502        0.98084     1
   57657.109269       0.004590        0.44670        0.02702        0.96731     1
   57663.427144       0.002005        0.29610        0.03477        0.98021     1
   57669.343887       0.003544        0.36884        0.03339        0.94746     1
   57675.360185       0.034919        0.34303        0.02162        0.15518     1
   57681.438606       0.005650        0.35080        0.02141        0.97322     1
   57688.577744       0.036401        0.44191        0.02318        0.30593     1
   57689.246556       0.037432        0.36566        0.01650        0.26110     1
   57690.664694       0.070710        0.32154        0.01830        0.13679     1
   57691.927860       0.009616        0.32713        0.01662        0.98169     1
   57692.819285       0.031687        0.66472        0.11297        0.01219     0
   57692.821945       0.034280        0.37087        0.01512        0.35131     1
   57706.717194       0.035921        0.51734        0.01542        0.47531     1
   57708.698958       0.170442        0.45761        0.01447        0.09189     1
   57710.332098       0.075503        0.39631        0.01267        0.23530     1
   57712.822097       0.240367        0.49402        0.01595        0.05785     1
   57714.478985       0.368918        0.77932        0.02997        0.02633     1
   57716.440853       0.536890        0.75484        0.02373        0.03111     1
   57719.871834       0.094822        0.52596        0.01874        0.11697     1
   57722.020669       0.002222        0.47031        0.03904        0.98832     1
   57723.090280       0.008265        0.51547        0.02287        0.87535     1
   57728.169933       0.103639        0.84796        0.03061        0.10799     1
   57735.525458       0.463406        0.84663        0.02643        0.03235     1
   57738.115738       0.070347        1.00275        0.02976        0.19873     1
   57740.529469       0.039239        1.07605        0.02550        0.33468     0
   57742.952194       0.004734        1.16984        0.04632        0.92726     0
   57745.111444       0.037839        1.06417        0.03599        0.30143     1
   57748.364438       0.035544        0.82875        0.02913        0.27205     1
   57751.836396       0.037897        1.35110        0.04395        0.27054     1
   57752.562974       0.027163        1.31066        0.04370        0.30778     1
   57753.127530       0.068270        1.30524        0.03741        0.16884     1
   57754.382591       0.008643        1.18162        0.04122        0.99093     1
   57755.276233       0.228906        1.56517        0.37104        0.00036     0
   57755.280652       0.233221        1.01584        0.03750        0.03817     1
   57759.727219       0.036575        1.46169        0.03592        0.38694     1
   57761.716759       0.032740        1.05558        0.03028        0.43339     1
   57763.214811       0.071276        0.99289        0.02949        0.19873     1
   57765.074188       0.003036        0.79238        0.05887        0.95870     1
   57768.863065       0.005868        0.76113        0.04041        0.97801     1
   57771.652164       0.269331        0.76768        0.02836        0.03763     1
   57863.750269       0.071349        0.77749        0.02756        0.15729     1
   57867.061330       0.204591        0.61927        0.02048        0.06306     1
   57869.467202       0.335538        0.99360        0.03416        0.03379     1
   57873.832605       0.005767        0.93347        0.04574        0.98994     1
   57874.316205       0.005186        0.92139        0.04836        0.97577     1
   57878.236277       0.003951        0.60551        0.03670        0.97037     1
   57879.750367       0.003079        0.58606        0.03718        0.98728     1
   57966.072760       0.037418        0.49477        0.01779        0.29988     1
   57968.715553       0.070536        0.52943        0.01740        0.18459     1
   57970.960171       0.005084        0.54424        0.02815        0.97255     1
   58095.210717       0.041804        0.54136        0.01786        0.33576     1
   58123.744256       0.056824        0.82179        0.03281        0.19674     1
   58300.952852       0.002702        0.24223        0.02528        0.98636     1
   58310.615665       0.367639        0.23129        0.01680        0.01635     1
   58312.368032       0.004169        0.31023        0.02582        0.96287     1
   58317.543999       0.008701        0.28593        0.01543        0.97722     1
