/*
**
**  Swift/XRT light curve for LS I +61 303.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53980.415430       0.075474        0.37980        0.01064        0.34597     1
   53983.938427       0.035863        0.31340        0.02365        0.11748     1
   53989.509718       0.470073        0.16294        0.00695        0.05629     1
   53991.672691       0.269651        0.25183        0.00958        0.07570     1
   53993.440433       0.109464        0.28420        0.00972        0.19538     1
   53995.330255       0.067020        0.16108        0.01686        0.06703     0
   53995.343104       0.070071        0.13094        0.00717        0.28647     1
   53997.517741       0.105862        0.17080        0.01100        0.11031     1
   54060.215138       0.134143        0.29744        0.01206        0.12799     1
   54061.248652       0.104089        0.28792        0.00962        0.21513     1
   54062.188174       0.104845        0.39678        0.01284        0.16403     1
   54063.261804       0.104148        0.39145        0.01319        0.15486     1
   54068.297387       0.038013        0.18746        0.01548        0.16471     1
   54069.300337       0.037810        0.30404        0.01452        0.28177     1
   54071.948263       0.000334        0.30092        0.08043        0.97766     1
   54074.356481       0.201831        0.16553        0.01279        0.03582     1
   54076.430479       0.272294        0.08907        0.00685        0.05087     1
   54078.612533       0.095766        0.27186        0.01366        0.12716     1
   54080.076402       0.040875        0.17120        0.01311        0.28840     1
   54082.211532       0.168941        0.25670        0.03404        0.01172     0
   54082.211609       0.168931        0.20183        0.01612        0.03741     1
   54083.517570       0.469120        0.27408        0.03786        0.00420     0
   54083.517633       0.469158        0.21669        0.02190        0.00825     1
   54085.325261       0.268460        0.34054        0.01929        0.03439     1
   54087.496254       0.235373        0.43071        0.04649        0.00625     0
   54087.497465       0.236547        0.36274        0.01460        0.05169     1
   54089.812255       0.007092        0.59822        0.06097        0.24357     0
