/*
**
**  Swift/XRT light curve for Mrk 501.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53426.046930       0.009703        5.64433        0.25020        0.22580     1
   53426.052444       0.011079        6.83393        0.07769        0.93473     0
   53481.082632       0.033484        4.96798        0.28647        0.01219     0
   53481.084370       0.035050        4.44031        0.18064        0.08834     1
   53539.493552       0.468715        6.11275        1.35361        0.00006     0
   53539.497142       0.472281        6.96928        0.13227        0.02232     1
   53934.989954       0.126021        4.48550        0.25488        0.00519     0
   53934.993842       0.129872        4.30805        0.06438        0.19667     1
   53935.935168       0.000469        5.56797        0.35955        0.97490     0
   53935.941417       0.005767        5.51949        0.15601        0.99232     1
   53936.039653       0.035093        5.94183        0.29014        0.01792     0
   53936.043183       0.038042        5.53117        0.16309        0.15461     1
   53936.869018       0.069606        6.03360        0.15797        0.02282     0
   53936.875844       0.075518        5.75819        0.08824        0.22544     1
   53937.073625       0.062445        6.00156        0.10780        0.20936     1
   54182.395675       0.100813        4.01810        0.24125        0.00504     0
   54182.402448       0.106573        3.75148        0.09219        0.10789     1
   54189.829634       0.033397        4.36253        0.40832        0.00558     0
   54189.841996       0.039233        3.83690        0.08620        0.33081     1
   54197.251552       0.072028        3.40144        0.39009        0.00239     0
   54197.251569       0.071959        3.33105        0.08597        0.15990     1
   54204.183645       0.035776        3.09961        0.12178        0.15097     1
   54211.457547       0.036264        4.54244        0.55920        0.00461     0
   54211.460304       0.038972        3.71476        0.09433        0.27046     1
   54218.230271       0.092688        3.61963        0.44182        0.00161     0
   54218.239367       0.101591        3.39226        0.08920        0.10912     1
   54224.452472       0.100341        4.57684        0.33619        0.00372     0
   54224.459090       0.106835        3.89584        0.06333        0.22061     1
   54238.229180       0.033547        3.19539        0.46403        0.00317     0
   54238.235011       0.039291        3.24810        0.09310        0.27020     1
   54248.345991       0.102593        2.31341        0.07936        0.09037     1
   54266.533717       0.070419        3.06320        0.07708        0.16675     1
   54273.248943       0.039219        3.32097        0.09313        0.28283     1
   54393.006139       0.973671        4.19407        0.03975        0.07144     1
   54395.217272       0.774352        4.15537        0.03347        0.12666     1
   54553.272951       0.168018        4.46542        0.05244        0.06793     0
   54556.288384       0.165752        4.25555        0.06855        0.06492     0
   54559.172522       0.037867        4.82479        0.07910        0.15206     0
   54559.460442       0.006215        4.77061        0.07408        0.98510     0
   54562.120534       0.036366        4.91077        0.07598        0.16528     0
   54562.442338       0.038808        4.95642        0.07809        0.15586     0
   54565.297971       0.199925        5.79930        0.05749        0.06072     0
   54568.283033       0.171126        5.13923        0.05373        0.08457     0
   54571.295539       0.170428        5.54527        0.06421        0.07273     0
   54580.247524       0.170515        4.61323        0.05509        0.06405     0
