/*
**
**  Swift/XRT light curve for 3C 84.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53741.913959       0.056447        4.50507        0.08181        0.13297     0
   53747.238003       0.043238        5.92414        0.07280        0.32651     0
   53769.932846       0.041820        4.92384        0.05722        0.42445     0
   54294.906385       0.232901        3.65978        0.05077        0.14250     1
   54440.821870       0.140592        1.51361        0.04445        0.14379     1
   55195.462094       0.376732        5.77478        0.07796        0.06549     1
   55392.645668       0.011565        6.32786        0.08335        0.86115     0
   55395.932974       0.074644        7.67005        0.05611        0.29583     0
   55397.264252       0.069763        7.43838        0.06539        0.30670     0
   55399.913385       0.040061        5.56093        0.11088        0.30482     1
   55401.917804       0.039800        4.44161        0.10150        0.28781     1
   55403.593429       0.039901        3.67143        0.09292        0.28453     1
   55405.934955       0.040018        1.62134        0.05797        0.30211     1
   55407.736002       0.038289        5.79268        0.11747        0.30822     1
   55409.208232       0.039684        5.40045        0.12536        0.28926     1
   55411.145225       0.040177        2.73601        0.06874        0.34004     1
   55413.615541       0.038623        1.60186        0.06009        0.29060     1
   55415.099379       0.039480        2.83442        0.07336        0.30183     1
   55417.770231       0.034600        4.92561        0.10635        0.33097     1
   55747.144053       0.005926        3.30683        0.12577        0.95661     1
   55748.243257       0.240760        3.21557        0.10861        0.03078     1
   55749.544751       0.333011        1.96641        0.07310        0.02895     1
   55751.323917       0.105237        2.53039        0.05965        0.18575     1
   55752.932229       0.841896        1.71141        0.04846        0.02639     1
   56313.788453       0.036253        5.23288        0.09481        0.15185     0
   56313.827225       0.002498        3.85091        0.23319        0.88465     1
   56315.459752       0.039534        4.77341        0.06075        0.32942     0
   56386.470374       0.004576        3.99184        0.16142        0.92381     1
   56483.686344       0.003878        1.85475        0.16569        0.49813     1
   56486.457797       0.501826        1.48888        0.10067        0.00808     1
   56488.131383       0.773423        2.81416        0.04948        0.03778     1
   56500.268728       0.304178        2.49343        0.05994        0.05827     1
   56505.449883       0.400089        5.14670        0.12539        0.02214     1
   57064.395858       0.042298        1.92686        0.07393        0.22526     1
   57096.135946       0.100821        1.18495        0.05837        0.09108     1
   57228.136186       0.038812        5.47602        0.12006        0.29064     1
   57252.113933       0.070071        1.21532        0.05437        0.16099     1
   57281.598879       0.039771        3.98845        0.12956        0.19346     1
   57329.276059       0.109319        3.90629        0.05789        0.32130     1
   57437.897323       0.034033        2.98297        0.07815        0.38390     1
   57439.757119       0.033525        2.86492        0.07946        0.37968     1
   57441.431193       0.038856        2.46206        0.08094        0.28633     1
   57443.854913       0.136031        2.03506        0.07331        0.08098     1
   57445.215243       0.499937        3.56630        0.08859        0.02897     1
   57447.938606       0.038275        2.37193        0.08854        0.22954     1
   57449.470688       0.039727        3.22012        0.09056        0.31124     1
   57450.863333       0.040134        1.13224        0.06429        0.16650     1
   57451.065993       0.038158        4.55111        0.10485        0.34955     1
   57452.130550       0.043344        3.40566        0.07596        0.47576     1
   57453.926363       0.106951        2.26450        0.07560        0.10611     1
   57455.421676       0.066512        3.26293        0.07799        0.22559     1
   57457.419044       0.203415        1.12193        0.06256        0.03663     1
   57457.562464       0.004140        1.99516        0.18672        0.37193     1
   57459.250103       0.241529        3.26028        0.09018        0.04966     1
   57463.503839       0.041267        3.09439        0.09436        0.27178     1
   57691.116934       0.095912        3.86678        0.09843        0.11601     1
   57692.117271       0.030707        3.51954        0.10766        0.32765     1
   57693.160003       0.035108        3.75125        0.10171        0.29381     1
   57694.131451       0.009500        5.38341        0.14014        0.95532     1
   57695.128103       0.009369        1.74740        0.07667        0.96220     1
   57696.124151       0.009848        2.39655        0.08510        0.95663     1
   57697.145749       0.034091        1.82157        0.06841        0.29389     1
   57698.143875       0.035965        2.10603        0.07194        0.31323     1
   57699.141681       0.036778        4.65014        0.10487        0.29567     1
   57700.138572       0.037084        4.38016        0.12046        0.23769     1
   57701.135465       0.037432        3.46992        0.10730        0.23083     1
   57702.398920       0.305224        2.35646        0.07229        0.03635     1
   57753.698370       0.696046        4.09784        0.15200        0.00747     1
   57754.258113       0.003689        6.21247        0.21099        0.99276     1
   57754.920203       0.005744        5.58928        0.10946        0.83980     0
   57755.188385       0.004619        4.90317        0.16895        0.97484     1
   57756.588154       0.005773        4.89800        0.10345        0.82506     0
   57758.507219       0.001785        4.62937        0.18001        0.83093     0
   57760.567506       0.001149        6.01315        0.23170        0.88161     0
   57765.904850       0.001377        5.41771        0.20593        0.88426     0
   57770.817471       0.003322        5.43145        0.19590        0.72822     0
   57773.345518       0.004479        4.77422        0.11065        0.85188     0
   57776.003825       0.005865        5.27389        0.09518        0.91416     0
   57777.318175       0.004010        5.07116        0.11457        0.90476     0
   57779.391972       0.268432        5.32324        0.10267        0.01771     0
   57782.965481       0.006039        5.63688        0.09643        0.90034     0
   57785.763173       0.009737        5.63337        0.07651        0.89926     0
   57788.776944       0.032749        5.93282        0.08303        0.25422     0
   57791.968551       0.031429        5.11456        0.09258        0.18226     0
   57794.987468       0.069427        5.43793        0.08396        0.10662     0
   57797.057083       0.006762        5.64326        0.09172        0.90800     0
   57800.571653       0.401256        6.78583        0.09746        0.01781     0
   57808.873619       0.072870        5.31807        0.08909        0.09442     0
   57811.930105       0.005289        5.28162        0.10762        0.85186     0
   57814.125547       0.000113        4.51948        0.74545        0.84895     0
   57817.912823       0.001756        4.94906        0.21357        0.75453     0
   57820.720187       0.002020        5.48908        0.16608        0.90231     0
   57821.378391       0.003397        5.10757        0.12450        0.91048     0
   57823.031518       0.005978        5.38968        0.09714        0.89497     0
   57828.390041       0.431464        3.52417        0.12996        0.01339     1
   57832.197834       0.005634        5.72393        0.12910        0.78940     0
   57833.201184       0.008526        2.48185        0.10348        0.85182     1
   57833.802556       0.005055        3.58992        0.15980        0.87537     1
   57835.984503       0.005749        4.59985        0.10193        0.82134     0
   57836.883852       0.373769        4.70399        0.11216        0.03500     1
   57837.319549       0.070681        3.27367        0.15419        0.05595     1
   57838.508719       0.006557        5.32908        0.09620        0.86849     0
   57838.945808       0.902060        3.09874        0.06564        0.02574     1
   57841.672628       0.164850        5.46749        0.09621        0.03325     0
   57844.029050       0.800077        4.45883        0.10772        0.01473     1
   57844.551967       0.005663        6.24388        0.12589        0.80838     0
   57847.472537       0.004534        4.71904        0.11555        0.82334     0
   58454.446317       0.002963        2.20563        0.19454        0.57736     1
   59932.458719       0.273224        1.34913        0.06139        0.03230     1
   59933.925299       0.006914        4.73396        0.14540        0.96368     1
   59935.912496       0.007568        2.89566        0.10604        0.96545     1
   59936.245925       0.004735        3.79676        0.14931        0.91968     1
   59939.160150       0.005127        5.78925        0.17340        0.97175     1
   59940.115248       0.028513        5.05948        0.08827        0.22343     0
   59941.213642       0.005107        5.90458        0.11046        0.89292     0
   59955.104856       0.005749       12.27546        0.14281        0.97685     0
   59955.901645       0.008425        4.50490        0.12974        0.95964     1
   59956.110997       0.004939       10.94841        0.25698        0.99972     1
   59956.903132       0.008672        5.40341        0.13393        0.97831     1
   59958.233454       0.005402        8.43459        0.12375        0.94215     0
   59959.874986       0.008657        4.59532        0.12182        0.98325     1
   59975.588902       0.002063        5.11949        0.29751        0.94259     1
   59975.780023       0.193579        6.21537        0.08920        0.03605     0
   59977.438216       0.205535        7.68411        0.08296        0.04934     0
   59979.550421       0.002344        7.50671        0.17808        0.93633     0
   59981.212294       0.008649        7.30224        0.09939        0.90867     0
   59983.057600       0.000232       10.37201        1.18343        0.99892     1
   59983.127846       0.071461        6.52514        0.12840        0.05269     0
   59985.645890       0.071473        8.45189        0.09669        0.11093     0
   59985.714830       0.002382       10.58437        0.58322        0.42026     1
   59987.237613       0.076270        7.38692        0.07639        0.15597     0
   59991.086204       0.005434        9.12027        0.12919        0.94728     0
   59994.219483       0.695790        4.98937        0.09049        0.00914     0
   59998.252875       0.368628        5.46383        0.09497        0.01947     0
   59999.919191       0.108576        5.67708        0.08610        0.06786     0
   60003.714101       0.004644        5.35137        0.13948        0.78692     0
