/*
**
**  Swift/XRT light curve for PKS 0458-02.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54182.209091       0.205463        0.02668        0.00328        0.09614     1
   54200.418276       0.405289        0.03435        0.00266        0.09513     1
   54321.388425       0.410170        0.03771        0.00440        0.03868     1
   54322.803192       0.003050        0.02485        0.00828        0.97463     1
   54478.238811       0.001438        0.06139        0.01772        0.98218     1
   54576.846512       0.540914        0.02470        0.00272        0.04929     1
   54578.137092       0.105949        0.02417        0.00321        0.20618     1
   54766.044497       0.302013        0.03721        0.00391        0.07444     1
   54943.264455       0.240367        0.06145        0.00427        0.11278     1
   55445.964614       0.034672        0.10843        0.01894        0.06267     1
   55805.740154       0.079963        0.05058        0.00477        0.22823     1
   55809.557363       0.008585        0.05257        0.00709        0.97800     1
   56189.775749       0.011548        0.12037        0.00893        0.96667     1
   56196.886270       0.105368        0.07848        0.00756        0.12674     1
   56202.765476       0.040729        0.06909        0.00678        0.26871     1
   56209.126826       0.040366        0.06629        0.00682        0.27179     1
   56216.741379       0.041935        0.06985        0.00648        0.30884     1
   56223.278921       0.034178        0.06336        0.00652        0.33368     1
   56716.632180       0.070173        0.08702        0.00577        0.28057     1
   56719.205103       0.246236        0.07807        0.00747        0.06483     1
   56722.601037       0.040613        0.07439        0.00614        0.35133     1
   57000.678082       0.035791        0.06736        0.01121        0.12957     1
   57006.362121       0.101751        0.03291        0.00948        0.04169     1
   57010.451343       0.003501        0.05878        0.01202        0.96779     1
   57019.955159       0.002397        0.11247       -1.00000        0.30898     1
   57021.588229       0.368700        0.05312        0.00630        0.03055     1
   57262.215863       0.070347        0.10121        0.00878        0.23519     1
   57264.643235       0.042182        0.08124        0.00623        0.36518     1
