/*
**
**  Swift/XRT light curve for OJ 287.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53510.609146       0.337761        0.08797        0.00561        0.06057     1
   53516.720375       0.001148        0.33473       -1.00000        0.26554     1
   53528.576849       0.007263        0.13670        0.01164        0.98262     1
   54055.686960       0.011533        0.07643        0.00709        0.96553     1
   54056.159880       0.142190        0.08622        0.00733        0.08897     1
   54057.857464       0.104322        0.09261        0.00699        0.17013     1
   54165.378687       0.239365        0.06105        0.00590        0.06231     1
   54169.138551       0.094779        0.05775        0.00629        0.12071     1
   54177.870219       0.000073        0.52708       -1.00000        0.99892     1
   54180.654397       0.042792        0.05731        0.00537        0.37112     1
   54396.518801       0.471424        0.11806        0.00611        0.05045     1
   54403.443573       0.171008        0.11650        0.00696        0.10109     1
   54410.634530       0.066498        0.13116        0.01224        0.09404     1
   54411.206754       0.042516        0.15196        0.01018        0.24617     1
   54413.242521       0.061632        0.13298        0.01088        0.13169     1
   54415.156731       0.043940        0.08417        0.00706        0.27177     1
   54417.170664       0.039030        0.11879        0.00994        0.22243     1
   54419.179692       0.039030        0.08890        0.00873        0.21835     1
   54421.221831       0.072627        0.10513        0.00840        0.15142     1
   54423.285921       0.059903        0.10750        0.01069        0.15654     1
   54425.134386       0.039190        0.10112        0.00863        0.24899     1
   54435.246585       0.106152        0.14054        0.01085        0.14821     1
   54437.421375       0.268707        0.11256        0.00784        0.05038     1
   54439.246786       0.037926        0.10886        0.00968        0.35369     1
   54441.198081       0.036619        0.09743        0.00653        0.45225     1
   54443.237386       0.060499        0.10248        0.00667        0.27665     1
   54445.186726       0.072990        0.10279        0.00677        0.22340     1
   54448.661316       0.070623        0.13292        0.00959        0.14863     1
   54451.498001       0.038071        0.13984        0.01054        0.29546     1
   54453.081698       0.070347        0.10074        0.00860        0.15257     1
   54455.088422       0.070579        0.12377        0.00841        0.18044     1
   54763.706946       0.037490        0.18549        0.01419        0.17472     1
   54764.037797       0.036473        0.15126        0.01383        0.15409     1
   54765.850284       0.035805        0.17580        0.01505        0.15378     1
   54766.619314       0.070245        0.15152        0.01533        0.06599     1
   54767.016387       0.002571        0.13971        0.02017        0.93836     1
   54768.022594       0.005854        0.18388        0.01510        0.97993     1
   54769.080381       0.005694        0.21981        0.01672        0.97924     1
   54770.168021       0.005520        0.28054        0.01899        0.98537     1
   54771.707783       0.005389        0.22928        0.01754        0.97305     1
   54772.711067       0.006202        0.26759        0.01763        0.97660     1
   54773.714908       0.005897        0.27453        0.01837        0.97438     1
   54774.301830       0.004372        0.31332        0.02331        0.96333     1
   54777.646847       0.005738        0.30032        0.01958        0.98953     1
   54778.129065       0.005738        0.32116        0.02579        0.97463     1
   54779.134486       0.005694        0.27243        0.01900        0.97044     1
   54780.312943       0.034701        0.32759        0.03052        0.14117     1
   54781.211745       0.072264        0.30374        0.01462        0.14007     1
   54781.952950       0.201701        0.27526        0.01696        0.03406     1
   54784.127650       0.101475        0.21143        0.01673        0.05326     1
   54785.064091       0.036241        0.22946        0.01825        0.13518     1
   54813.808274       0.006972        0.29429        0.01958        0.97690     1
   54819.628309       0.005709        0.25930        0.01839        0.96744     1
   54826.789829       0.135145        0.30370        0.02269        0.05181     1
   54840.367975       0.007001        0.27315        0.01678        0.97197     1
   54849.915592       0.036488        0.27122        0.02262        0.15452     1
   54854.185512       0.035965        0.34977        0.02410        0.14183     1
   54864.141714       0.203386        0.31717        0.01012        0.13730     1
   54867.321171       0.037142        0.32272        0.01806        0.19214     1
   54875.920124       0.006231        0.42891        0.02351        0.98548     1
   54884.374535       0.036561        0.37357        0.02378        0.15099     1
   54889.127328       0.037243        0.32427        0.02109        0.14330     1
   54895.862537       0.000494        0.43111        0.10456        0.96952     1
   54903.087690       0.009514        0.25099        0.01403        0.96992     1
   54917.303634       0.037330        0.26462        0.01557        0.20977     1
   55129.910985       0.131339        0.41740        0.01024        0.21785     1
   55132.560589       0.107416        0.33570        0.00933        0.25635     1
   55132.727443       0.014932        0.31841        0.01258        0.97221     1
   55134.100460       0.098120        0.32363        0.00957        0.28292     1
   55153.634922       0.238668        0.27955        0.00897        0.11995     1
   55168.465123       0.005665        0.31025        0.02023        0.98156     1
   55175.168658       0.005636        0.29675        0.02295        0.93826     1
   55181.054188       0.005520        0.25446        0.01850        0.97928     1
   55183.832985       0.041862        0.22577        0.01021        0.36893     1
   55184.465021       0.534958        0.23432        0.00962        0.03563     1
   55185.600890       0.538648        0.33112        0.07626        0.00088     1
   55188.549849       0.006333        0.28809        0.01818        0.97599     1
   55195.497296       0.006130        0.25710        0.02710        0.96405     1
   55208.415863       0.005650        0.24408        0.01789        0.97718     1
   55209.485567       0.071146        0.23279        0.01083        0.22732     1
   55217.387048       0.005287        0.23756        0.01832        0.97421     1
   55234.164277       0.039175        0.24154        0.01344        0.24644     1
   55235.766048       0.042966        0.28404        0.01044        0.43583     1
   55252.115857       0.004953        0.19720        0.01714        0.97663     1
   55259.826920       0.006362        0.18378        0.01453        0.98166     1
   55266.512145       0.005897        0.21667        0.01657        0.96135     1
   55273.016544       0.005665        0.19440        0.02151        0.96197     1
   55276.242725       0.036430        0.16325        0.01442        0.15670     1
   55278.231029       0.007132        0.21469        0.01495        0.97519     1
   55296.592201       0.103596        0.20355        0.01078        0.12246     1
   55312.250242       0.039291        0.16901        0.01028        0.29000     1
   55340.844499       0.033321        0.15111        0.00878        0.42304     1
   55488.061153       0.040802        0.13165        0.00831        0.34325     1
   55501.804873       0.143555        0.16714        0.00879        0.10795     1
   55536.591992       0.004532        0.30856        0.02207        0.98124     1
   55543.620377       0.004605        0.23900        0.01966        0.98933     1
   55549.854704       0.008439        0.27945        0.01646        0.98725     1
   55557.809630       0.004241        0.18592        0.01803        0.98095     1
   55564.838414       0.003762        0.22262        0.02075        0.97330     1
   55571.793265       0.006740        0.22086        0.01595        0.98090     1
   55577.614011       0.006130        0.19277        0.01522        0.96452     1
   55585.306706       0.006464        0.24741        0.01684        0.98623     1
   55592.074346       0.005476        0.24727        0.01831        0.97342     1
   55606.395770       0.005578        0.18342        0.01578        0.97917     1
   55613.486913       0.007539        0.24972        0.01570        0.97120     1
   55620.777425       0.006536        0.20534        0.01934        0.97333     1
   55627.536468       0.007263        0.22869        0.01665        0.97253     1
   55641.855009       0.008846        0.16676        0.01189        0.96837     1
   55647.067385       0.001336        0.14071        0.02872        0.94120     1
   55878.724660       0.544051        0.40074        0.01646        0.01948     1
   55880.428819       0.311426        0.32721        0.01132        0.05924     1
   55900.191655       0.004125        0.26081        0.02131        0.98588     1
   55900.911577       0.001612        0.28107        0.03595        0.95997     1
   55907.501447       0.038798        0.28208        0.01599        0.20401     1
   55914.820703       0.005679        0.22008        0.01669        0.97757     1
   55921.722389       0.006072        0.14657        0.01323        0.97866     1
   55928.798680       0.005447        0.20138        0.01832        0.97597     1
   55934.345727       0.006290        0.10883        0.01447        0.96659     1
   55942.449409       0.004706        0.19408        0.01782        0.98763     1
   55948.791653       0.006217        0.27986        0.01822        0.98326     1
   55957.817982       0.001453        0.24943        0.04371        0.97149     1
   55970.377403       0.005215        0.21613        0.01892        0.97269     1
   55984.547837       0.005621        0.21510        0.01685        0.96672     1
   55998.457090       0.135929        0.32040        0.01770        0.05874     1
   56005.071255       0.005825        0.33762        0.02079        0.97798     1
   56012.626710       0.005302        0.37866        0.02344        0.97003     1
   56040.934943       0.087995        0.38503        0.01829        0.09423     1
   56266.748852       0.002237        0.32052        0.03242        0.98594     1
   56271.229579       0.005825        0.25525        0.01787        0.97773     1
   56285.510332       0.005636        0.20157        0.01620        0.96951     1
   56294.591908       0.006667        0.23205        0.01617        0.98665     1
