/*
**
**  Swift/XRT light curve for OT081.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54157.852134       0.105498        0.48293        0.01396        0.17994     1
   54161.830046       0.137992        0.40729        0.01365        0.11780     1
   54199.728252       0.271728        0.85002        0.03753        0.02790     1
   54212.183629       0.003137        0.44520        0.03252        0.97672     1
   54391.945008       0.036212        0.21469        0.01820        0.15419     1
   54392.176136       0.137062        0.18617        0.00970        0.10687     1
   54394.185822       0.135668        0.15063        0.01224        0.06070     1
   54855.489423       0.035500        0.07176        0.00981        0.15899     1
   55146.939904       0.060092        0.08247        0.00656        0.23747     1
   55277.634658       0.000073        0.52708       -1.00000        0.99892     1
   55287.892557       0.006043        0.13383        0.01392        0.95751     1
   55290.637891       0.003762        0.11760        0.01548        0.94632     1
   55292.305909       0.272541        0.09255        0.00664        0.06683     1
   55425.139949       0.012477        0.19355        0.01081        0.95034     1
   55426.843026       0.103465        0.15989        0.00953        0.12276     1
   55427.577523       0.039829        0.16290        0.00980        0.30844     1
   55428.179155       0.039582        0.17850        0.01042        0.29619     1
   55429.048241       0.035776        0.13778        0.00972        0.29873     1
   55430.117274       0.036851        0.14549        0.00931        0.32692     1
   55431.120378       0.036532        0.16580        0.01002        0.32418     1
   55502.327855       0.038798        0.28832        0.01304        0.31472     1
   55645.762738       0.140025        0.09904        0.00706        0.10592     1
   55646.486714       0.006304        0.09526        0.01055        0.97916     1
   55647.425864       0.142161        0.09146        0.01106        0.03841     1
   55810.480057       0.437972        0.06814        0.00684        0.02616     1
   55811.160061       0.101722        0.07443        0.00653        0.13056     1
   56891.542796       0.040497        0.09426        0.00802        0.26659     1
   56922.571508       0.336816        0.08041        0.00687        0.03745     1
   56952.507528       0.028049        0.08602        0.01267        0.15202     1
   56956.331889       0.008352        0.09006        0.00917        0.95792     1
   57580.118202       0.093108        0.25130        0.01061        0.17321     1
   57582.478347       0.071640        0.24417        0.01304        0.15955     1
   57586.988023       0.061225        0.32514        0.01323        0.21635     1
   57589.723309       0.066919        0.36687        0.01515        0.21257     1
   57592.539155       0.040671        0.21421        0.01293        0.35475     1
   57593.807207       0.040628        0.16691        0.00846        0.41128     1
   57594.870434       0.041557        0.19739        0.00926        0.40614     1
   57595.899881       0.066062        0.19069        0.00912        0.25154     1
   57596.801444       0.038812        0.15099        0.00881        0.39824     1
   59642.846959       0.039015        0.05014        0.00520        0.39057     1
   60138.165954       0.140287        0.08626        0.00863        0.06159     1
   60142.857244       0.009383        0.07199        0.00770        0.96694     1
   60152.477752       0.307635        0.10525        0.01139        0.03078     1
