/*
**
**  Swift/XRT light curve for PG 1553+113.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53480.320935       0.167370        2.24013        0.30855        0.00096     0
   53480.323716       0.169991        2.18373        0.04136        0.17130     1
   53649.500008       0.436855        6.61678        0.05955        0.02937     0
   53649.503278       0.438335        6.14270        0.05629        0.11209     1
   53651.381843       0.374711        5.94234        0.06752        0.02429     0
   53651.382891       0.374684        5.37060        0.05134        0.13928     1
   54895.119110       0.106380        2.69083        0.39494        0.00208     0
   54895.119575       0.106777        2.02665        0.04506        0.21336     1
   54933.495031       0.466843        0.93902        0.24209        0.00025     0
   54933.503349       0.475113        0.82262        0.02048        0.04668     1
   54956.251658       0.079556        1.07027        0.02758        0.27656     1
   54987.721969       0.267731        1.06031        0.24752        0.00119     0
   54987.724026       0.269709        0.81341        0.02128        0.07905     1
   55017.459670       0.373090        1.56856        0.43475        0.00038     0
   55017.464517       0.377822        0.70820        0.02156        0.04701     1
   55019.666297       0.037853        0.63274        0.02312        0.23398     1
   55048.103178       0.099196        1.16271        0.29164        0.00103     0
   55048.108769       0.106428        1.01865        0.02567        0.21776     1
   55083.115262       0.104830        0.75336        0.01973        0.22854     1
   55107.682769       0.105382        0.58436        0.01727        0.20453     1
   55198.205557       0.139561        0.86922        0.02219        0.14850     1
   55232.840183       0.169483        0.77290        0.01924        0.15534     1
   55781.414290       0.072511        0.83411        0.03047        0.15347     1
   55973.587057       0.302507        1.33585        0.03681        0.04069     1
   55978.633796       0.005709        1.42669        0.05596        0.98219     1
   55980.797344       0.100560        1.55944        0.05017        0.11474     1
   55982.278202       0.039684        1.88807        0.05886        0.27957     1
   55984.536017       0.030116        2.52173        0.50435        0.00219     0
   55984.542196       0.036241        1.90080        0.06204        0.31741     1
   55986.469552       0.033545        1.74281        0.40738        0.00225     0
   55986.474986       0.038899        1.90153        0.06458        0.28172     1
   55988.550109       0.042937        2.16749        0.06503        0.28434     1
   56000.244483       0.039404        2.32876        0.04993        0.27545     0
   56002.262563       0.041597        2.11691        0.03450        0.29463     0
   56005.464998       0.037083        2.21543        0.03678        0.30531     0
   56008.100798       0.009604        2.34855        0.04223        0.96384     0
   56011.589427       0.407083        1.90367        0.03622        0.02459     0
   56017.455057       0.071325        2.26975        0.03741        0.15912     0
   56034.182798       0.005376        2.84934        0.06251        0.94778     0
   56038.932262       0.001042        4.52531        0.30101        0.94199     0
   56041.568184       0.103351        4.43404        0.07620        0.05867     0
   56042.063026       0.005720        4.49297        0.07661        0.98584     0
   56043.064955       0.005839        5.01566        0.10231        0.95590     0
   56044.074112       0.005726        4.85632        0.07877        0.98737     0
   56045.076007       0.005920        5.10504        0.07804        0.98778     0
   56046.078996       0.005697        4.44699        0.07577        0.98273     0
   56055.368467       0.003064        4.51316        0.10139        0.97731     0
   56058.234696       0.006939        3.95387        0.07670        0.96497     0
   56063.037993       0.006421        4.97513        0.07695        0.98197     0
   56066.986288       0.001183        3.60714        0.14652        0.97790     0
   56070.935005       0.007315        4.26558        0.09102        0.94660     0
   56072.325626       0.005608        4.15746        0.07274        0.98349     0
   56088.238746       0.005666        3.16924        0.07876        0.95761     0
   56091.919739       0.005781        2.70122        0.05743        0.97097     0
   56094.932317       0.005842        2.74032        0.07570        0.58376     0
   56095.183115       0.005778        2.68904        0.05779        0.96895     0
   56102.273672       0.005501        3.13206        0.08561        0.56926     0
   56390.085523       0.035608        3.31313        0.38703        0.00445     0
   56390.089893       0.039887        3.46041        0.09255        0.24791     1
   56393.219220       0.092986        3.08237        0.10270        0.02182     0
   56393.221883       0.095447        2.89379        0.08511        0.10824     1
   56416.348747       0.006768        2.24344        0.04918        0.96109     0
   56420.120609       0.033354        3.20303        0.47337        0.00291     0
   56420.125998       0.038565        2.65902        0.07570        0.28347     1
   56422.241542       0.004965        2.59994        0.06088        0.96853     0
   56423.099456       0.000064        2.88362        0.56552        0.95505     0
   56423.107043       0.007510        2.24245        0.08404        0.96653     1
   56428.298864       0.005955        2.30763        0.05271        0.96453     0
   56446.262785       0.005926        2.18221        0.05355        0.95703     0
   56451.266712       0.005489        1.89179        0.05054        0.94834     0
   56451.948146       0.006016        1.90813        0.04751        0.96489     0
   56452.014848       0.003354        1.89439        0.06392        0.95449     0
   56454.923679       0.037402        1.86518        0.03444        0.29220     0
   56456.220484       0.005868        1.80508        0.04713        0.95661     0
   56474.234209       0.006071        2.49133        0.05568        0.95853     0
   56477.235009       0.005958        2.61806        0.05863        0.96503     0
   56480.179824       0.006247        2.67815        0.05556        0.97082     0
   56573.760484       0.006159        1.88488        0.06896        0.97975     1
   56721.466375       0.005842        1.23194        0.03897        0.95394     0
   56724.461564       0.005090        1.26448        0.04307        0.95395     0
   56746.472521       0.005929        1.31472        0.04068        0.95266     0
   56749.472844       0.006068        1.36248        0.05416        0.91845     0
   56752.399086       0.005084        1.28504        0.05981        0.91918     0
   56772.337389       0.006363        1.58933        0.07115        0.92224     0
   56778.347214       0.005420        1.48497        0.06358        0.48429     0
   56781.410074       0.005868        1.58876        0.05304        0.92012     0
   56808.262990       0.005749        1.32912        0.05276        0.92854     0
   57015.662991       0.005040        4.23329        0.14917        0.97711     1
   57021.817353       0.036108        6.18898        0.06429        0.32441     0
   57023.880878       0.035752        5.64309        0.05835        0.32840     0
   57025.052931       0.009575        5.22519        0.07566        0.97038     0
   57027.743921       0.038018        4.15057        0.04883        0.31620     0
   57031.582468       0.075153        4.10195        0.05162        0.14771     0
   57034.139066       0.037321        3.66927        0.08139        0.28615     0
   57035.846145       0.005897        2.86082        0.06187        0.96614     0
   57037.375671       0.336768        2.92438        0.05171        0.02460     0
   57045.901319       0.004895        2.76000        0.12524        0.95225     1
   57055.803591       0.006130        2.22733        0.09311        0.96449     1
   57065.860225       0.005723        1.66753        0.08497        0.96340     1
   57075.088773       0.035529        1.56564        0.07074        0.14846     1
   57085.499462       0.410228        2.43284        0.12945        0.00825     1
   57088.155479       0.000275        2.19763        0.23910        0.96384     0
   57091.182360       0.039829        3.10250        0.08577        0.10741     0
   57094.142137       0.007164        2.43111        0.05250        0.95517     0
   57097.133134       0.070336        2.26776        0.03879        0.14784     0
   57099.062891       0.000087        2.24841        0.44702        0.91933     0
   57100.067876       0.008498        2.38177        0.04467        0.96221     0
   57103.194756       0.008675        2.59244        0.04600        0.96564     0
   57105.916528       0.069562        2.58558        0.09991        0.08953     1
   57106.054052       0.008417        2.55225        0.04621        0.97319     0
   57109.115272       0.008302        2.82827        0.04929        0.96968     0
   57116.959194       0.000098        3.42692        0.49211        0.99548     0
   57116.962637       0.003326        2.68875        0.14363        0.96211     1
   57126.642472       0.033397        2.42734        0.11413        0.04277     0
   57126.645345       0.035878        2.14904        0.11248        0.09028     1
   57128.410658       0.005316        1.81484        0.14020        0.43102     1
   57134.334694       0.005563        2.01069        0.09390        0.97204     1
   57138.805250       0.005171        1.57594        0.06571        0.96921     1
   57146.979936       0.006871        1.32066        0.05378        0.97888     1
   57155.420455       0.005926        1.08229        0.04965        0.98346     1
   57158.411363       0.003210        1.25633        0.07020        0.98276     1
   57161.274198       0.006319        1.08912        0.04677        0.97697     1
   57166.128233       0.003660        1.48508        0.07246        0.98807     1
   57176.846311       0.000189        0.97699        0.24853        0.90865     1
   57180.052674       0.004256        1.30921        0.06301        0.95626     1
   57183.227296       0.005345        1.51066        0.06064        0.96783     1
   57187.167446       0.005447        1.15215        0.05132        0.96816     1
   57189.214080       0.006057        1.16756        0.04932        0.98341     1
   57196.726985       0.001845        1.07061        0.08630        0.94568     1
   57199.689728       0.102622        0.87384        0.04846        0.05605     1
   57206.339050       0.035936        0.88435        0.04605        0.15429     1
   57221.478057       0.007335        0.84942        0.03809        0.96607     1
   57231.229917       0.036720        0.59740        0.03078        0.21669     1
   57242.889865       0.005955        0.53845        0.02624        0.98324     1
   57242.966249       0.005941        0.57470        0.02681        0.97514     1
   57243.156421       0.006072        0.58257        0.02660        0.98347     1
   57243.322729       0.039030        0.56880        0.01939        0.28858     1
   57243.523553       0.040308        0.62970        0.02099        0.30357     1
   57243.656570       0.039930        0.57727        0.01926        0.28324     1
   57252.231929       0.036096        0.78173        0.04697        0.17706     1
   57254.331930       0.008323        0.61608        0.02574        0.97712     1
   57261.341905       0.103203        0.58447        0.02211        0.09228     1
   57273.479418       0.002513        0.76918        0.06846        0.96051     1
   57282.259422       0.136409        0.87624        0.04075        0.04463     1
   57291.839893       0.000102        0.43931       -1.00000        0.85607     1
   57301.195936       0.035994        0.66401        0.02713        0.26527     1
   57302.350352       0.271132        0.65161        0.02323        0.03763     1
   57380.813523       0.007974        1.13607        0.04398        0.96872     1
   57390.712510       0.008309        0.83992        0.03589        0.97573     1
   57400.060595       0.037127        0.85248        0.03573        0.22639     1
   57411.995071       0.005592        0.57226        0.03425        0.97581     1
   57420.965317       0.000218        1.62291        0.30546        0.99892     1
   57430.672227       0.007611        1.10466        0.04267        0.96649     1
   57440.840855       0.008425        1.65324        0.05374        0.82246     1
   57450.016612       0.002803        1.03612        0.06772        0.98059     1
   57451.940900       0.005592        0.75185        0.03521        0.98920     1
   57459.446523       0.000156        1.12425        0.25769        0.88982     0
   57459.452154       0.005462        0.80106        0.04330        0.97612     1
   57460.855282       0.003021        0.75608        0.05592        0.96527     1
   57464.433023       0.005854        0.87714        0.04411        0.96288     1
   57470.587427       0.038231        0.84106        0.03697        0.20621     1
   57480.861668       0.002905        0.68443        0.04214        0.96691     1
   57484.366911       0.005955        0.71260        0.03888        0.96095     1
   57489.563574       0.003777        0.57456        0.03384        0.97752     1
   57492.409617       0.005621        0.56299        0.02758        0.97669     1
   57497.606181       0.006290        0.65829        0.03006        0.97845     1
   57505.044175       0.005127        1.94196        0.09956        0.98698     1
   57508.194549       0.169991        2.17323        0.09228        0.03655     1
   57511.328228       0.039117        2.11522        0.07157        0.25541     1
   57514.835279       0.032257        2.50275        0.58935        0.00177     0
   57514.841137       0.037999        2.01133        0.06579        0.25868     1
   57517.643450       0.034774        1.71297        0.23387        0.01919     1
   57519.361817       0.034672        2.02415        0.06763        0.29888     1
   57527.794749       0.035049        2.35524        0.11382        0.05826     0
   57527.797522       0.037679        1.83336        0.16638        0.02503     1
   57538.266643       0.005534        2.59907        0.11079        0.96797     1
   57542.321528       0.006217        3.14966        0.11331        0.97612     1
   57546.256381       0.005374        2.18125        0.09929        0.95664     1
   57547.117772       0.000093        3.36780        0.50898        0.95995     0
   57547.122806       0.004924        2.72741        0.11452        0.97008     1
   57554.824125       0.064106        4.32721        0.36684        0.00350     0
   57554.826916       0.066817        3.53475        0.11820        0.08860     1
   57561.922187       0.001220        2.63917        0.25645        0.94402     1
   57568.631902       0.132998        2.49591        0.53213        0.00045     0
   57568.634908       0.135900        1.47644        0.05638        0.04241     1
   57576.354523       0.276710        0.88405        0.03708        0.02831     1
   57582.094621       0.035805        0.57254        0.02619        0.16637     1
   57590.744181       0.039829        0.78405        0.02930        0.27772     1
   57593.974469       0.004648        0.97961        0.05102        0.98735     1
   57608.845488       0.003123        0.49852        0.03447        0.97743     1
   57611.450717       0.005520        0.98678        0.05584        0.96863     1
   57620.874581       0.003196        0.75078        0.05175        0.96434     1
   57629.514577       0.002760        1.61246        0.08845        0.97407     1
   57638.016891       0.002426        0.92945        0.08167        0.95870     1
   57642.607906       0.002280        0.83410        0.06833        0.95924     1
   57649.178673       0.003719        0.85598        0.05601        0.98433     1
   57656.023287       0.004706        0.48299        0.02760        0.97896     1
   57665.196363       0.005026        0.35442        0.02321        0.97993     1
   57745.062044       0.003907        1.05560        0.06444        0.98553     1
   57748.115947       0.000479        1.18282       -1.00000        0.09084     1
   57751.048701       0.006123        0.86399        0.03238        0.92439     0
   57754.439657       0.005434        0.96544        0.03878        0.93397     0
   57757.488859       0.005553        1.07820        0.04051        0.93434     0
   57760.540411       0.006102        0.98901        0.03793        0.88194     0
   57763.595940       0.005880        0.94154        0.03681        0.91880     0
   57766.387625       0.006120        1.57360        0.06347        0.90969     0
   57769.576797       0.005813        2.00516        0.06013        0.94774     0
   57772.308294       0.005547        1.36108        0.08979        0.89932     0
   57775.424376       0.005466        1.76888        0.10492        0.91265     0
   57778.744881       0.005802        1.20541        0.04468        0.92768     0
   57781.069689       0.005975        1.40004        0.08357        0.90605     0
   57784.923411       0.005726        0.91474        0.03672        0.92926     0
   57787.121429       0.005663        1.12438        0.08184        0.89780     0
   57793.636592       0.005784        0.92212        0.03691        0.91496     0
   57796.830825       0.140686        0.64169        0.02839        0.05197     0
   57799.675975       0.005929        0.87387        0.03528        0.92484     0
   57802.930349       0.005752        1.71096        0.04634        0.96076     0
   57805.454449       0.005926        1.03378        0.03815        0.93750     0
   57808.510235       0.005723        0.58139        0.02747        0.97750     1
   57811.499825       0.005679        0.55553        0.02694        0.98464     1
   57817.483711       0.000116        0.79941       -1.00000        0.99892     1
   57820.867347       0.006178        0.46475        0.02502        0.93583     0
   57823.456213       0.003785        0.57929        0.03621        0.92555     0
   57826.316926       0.005984        0.60598        0.02955        0.90619     0
   57832.892889       0.007083        0.86475        0.03249        0.92647     0
   57835.943822       0.002527        0.34130        0.03184        0.94570     1
   57837.476036       0.005897        0.35176        0.02120        0.97784     1
   57838.677632       0.006362        0.38871        0.02203        0.95844     1
   57841.007742       0.005418        0.41178        0.03679        0.89772     1
   57842.459295       0.005970        0.47031        0.02411        0.96362     1
   57847.444482       0.005505        0.45046        0.02504        0.98439     1
   57850.053702       0.001133        0.49204        0.05610        0.97914     1
   57853.101008       0.005897        0.40125        0.03168        0.97288     1
   57856.191354       0.039175        0.40362        0.02859        0.13505     1
   57859.334394       0.005839        0.46761        0.02468        0.96711     1
   57862.605450       0.004939        0.48683        0.04198        0.95584     1
   57865.379865       0.005505        0.53031        0.02657        0.97849     1
   57868.868232       0.105368        0.74067        0.03914        0.05332     1
   57870.362424       0.005607        0.95759        0.04775        0.94995     1
