/*
**
**  Swift/XRT light curve for 0336-019.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54171.457682       0.501288        0.03789        0.00283        0.07802     1
   54181.003638       0.002586        0.13278       -1.00000        0.32321     1
   54184.817089       0.070405        0.03447        0.00374        0.28760     1
   54916.834723       0.104772        0.03965        0.00485        0.13364     1
   54918.133442       0.537980        0.03521        0.00265        0.08092     1
   55502.654304       0.074821        0.03527        0.00347        0.30585     1
   55510.082435       0.008497        0.05086        0.00699        0.97883     1
   56933.682572       0.106167        0.05034        0.00597        0.11248     1
   56938.877068       0.113182        0.05838        0.00704        0.08457     1
   56942.734469       0.041586        0.06292        0.00468        0.54168     1
   56945.661795       0.103450        0.06692        0.00630        0.13257     1
   56950.059708       0.304018        0.05676        0.00587        0.04610     1
   56950.930353       0.034876        0.06654        0.00718        0.32190     1
   56951.895398       0.071015        0.07330        0.00699        0.15827     1
   56952.842491       0.070681        0.05843        0.00624        0.17029     1
   56953.466120       0.113023        0.06498        0.00728        0.08298     1
   56954.560475       0.009630        0.05483        0.00643        0.98007     1
   56955.226922       0.009166        0.05993        0.00785        0.96901     1
   56956.225744       0.009630        0.06751        0.00748        0.96819     1
   56957.651027       0.035747        0.05539        0.00630        0.31846     1
   56958.835248       0.007103        0.06128        0.00808        0.96526     1
   56959.363000       0.002513        0.13412       -1.00000        0.32864     1
   56960.790037       0.037025        0.06079        0.00751        0.29318     1
   56961.185127       0.039146        0.05670        0.00651        0.28370     1
   56964.688415       0.069897        0.06444        0.00699        0.20058     1
   56967.422813       0.068153        0.04833        0.00557        0.19810     1
   56993.450936       0.069853        0.03460        0.00381        0.31724     1
   57344.563347       0.033844        0.11492        0.01337        0.21574     1
   57346.375105       0.106123        0.08064        0.00944        0.06828     1
   57347.167803       0.087109        0.06386        0.00687        0.12800     1
   57349.073637       0.069214        0.06259        0.00689        0.15989     1
   57350.060513       0.058189        0.06647        0.01330        0.09171     1
   57352.414936       0.033655        0.05779        0.00677        0.31054     1
   57353.629853       0.033350        0.03607        0.00610        0.23254     1
   57354.482293       0.035050        0.06504        0.00677        0.31439     1
   57355.243253       0.077566        0.05608        0.00613        0.14914     1
   57356.806199       0.038202        0.07316        0.00830        0.28759     1
   57357.880207       0.037810        0.06793        0.00692        0.29753     1
   57358.337048       0.039291        0.05216        0.00701        0.26786     1
   57359.328907       0.037011        0.04322        0.00713        0.28461     1
   57974.897888       0.011548        0.06373        0.00824        0.97419     1
   57976.888050       0.069577        0.05906        0.00946        0.07748     1
   57981.608807       0.331006        0.04286        0.01296        0.00638     1
