/*
**
**  Swift/XRT light curve for PKS 0736+01.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53359.771541       0.203952        0.15588        0.00756        0.09909     1
   54227.429756       0.569135        0.29549        0.04323        0.00200     0
   54227.430336       0.569616        0.11595        0.00481        0.06509     1
   54241.825048       0.169396        0.08758        0.01164        0.02824     1
   54445.885403       0.106210        0.13082        0.00706        0.21420     1
   54812.736285       0.266470        0.13402        0.00660        0.08454     1
   55125.587540       0.035849        0.12047        0.01691        0.08555     1
   55126.839139       0.075416        0.12250        0.00652        0.29102     1
   55651.213722       0.005709        0.17371        0.01508        0.95482     1
   55651.810858       0.141187        0.14060        0.00831        0.10672     1
   55860.868468       0.069010        0.06860        0.00766        0.12795     1
   56982.712203       0.044143        0.14713        0.00769        0.56301     1
   56985.415708       0.541175        0.23462        0.00844        0.04425     1
   56991.575806       0.040860        0.24521        0.01275        0.36373     1
   56998.669896       0.069650        0.15408        0.00812        0.24821     1
   57005.350559       0.039001        0.21715        0.01046        0.38219     1
   57007.680671       0.039451        0.17617        0.01078        0.27411     1
   57014.346535       0.302057        0.15857        0.00835        0.05566     1
   57021.531268       0.040933        0.15517        0.00902        0.40782     1
   57073.893151       0.081314        0.21238        0.00912        0.23131     1
   57075.143225       0.066745        0.20956        0.01044        0.20591     1
   57075.957564       0.060470        0.15558        0.00961        0.23885     1
   57080.407041       0.070710        0.14962        0.00712        0.30416     1
   58623.706547       0.069853        0.24815        0.01300        0.15705     1
   58627.197895       0.040279        0.16536        0.01140        0.31454     1
   58630.116444       0.036996        0.20673        0.01366        0.31942     1
