/*
**
**  Swift/XRT light curve for S4 1749+70.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   54147.309860       0.275504        0.06000        0.00345        0.13869     1
   54197.156019       0.304904        0.04914        0.00394        0.08037     1
   54963.344195       0.341871        0.05564        0.00426        0.07203     1
   54965.522694       0.438349        0.05392        0.00369        0.08325     1
   54983.384991       0.404563        0.05167        0.00582        0.03057     1
   54983.918488       0.071088        0.05044        0.00588        0.16973     1
   55609.762816       0.068023        0.15039        0.00754        0.31210     1
   55613.384275       0.008062        0.10900        0.01032        0.96925     1
   55613.550866       0.105324        0.11559        0.00570        0.24892     1
   55618.163656       0.045726        0.16782        0.00746        0.48717     1
   55622.343662       0.071581        0.19042        0.00751        0.33672     1
   58695.481375       0.035965        0.08419        0.01120        0.13937     1
   58698.971917       0.005825        0.12048        0.01288        0.95730     1
   58702.425360       0.006536        0.10997        0.01141        0.96640     1
   58705.906306       0.035195        0.08748        0.01149        0.13769     1
   58717.785958       0.004968        0.09051        0.01199        0.95877     1
   58719.775105       0.069316        0.09748        0.01154        0.08317     1
   58723.956997       0.005476        0.07959        0.01060        0.96544     1
   58726.013583       0.004881        0.04680        0.00919        0.93155     1
   58730.598630       0.005520        0.06840        0.00971        0.97151     1
   58733.189932       0.002411        0.09566        0.01756        0.94674     1
   58740.749490       0.002527        0.07728        0.01556        0.97501     1
   58744.994597       0.005389        0.08342        0.01088        0.96537     1
   58747.373408       0.069635        0.08707        0.00990        0.09427     1
   58751.394696       0.363616        0.06407        0.01000        0.01702     1
   58754.021332       0.005040        0.07720        0.01103        0.95846     1
   58768.781658       0.069708        0.06039        0.00974        0.07271     1
   58775.090305       0.005491        0.09725        0.01193        0.92308     1
   58779.728662       0.006711        0.06608        0.00862        0.96048     1
   58782.391306       0.005186        0.08703        0.01144        0.97162     1
   58786.396159       0.030213        0.07443        0.00979        0.19808     1
   58793.339260       0.004488        0.08091        0.01154        0.96145     1
   58796.317713       0.006566        0.10903        0.01134        0.96230     1
   58800.094067       0.004445        0.07939        0.01154        0.97513     1
   58803.015393       0.004735        0.04165        0.00889        0.90537     1
   58807.263480       0.204548        0.06559        0.00734        0.04588     1
   58810.149567       0.034440        0.08322        0.01402        0.10946     1
   58821.635299       0.005665        0.06188        0.00919        0.94878     1
   58824.956223       0.005534        0.06190        0.01151        0.95512     1
   58828.805764       0.004605        0.06367        0.01415        0.95549     1
   58831.991214       0.005302        0.04893        0.00910        0.95683     1
   58838.030797       0.005302        0.05808        0.01061        0.97645     1
   58842.794995       0.005650        0.06117        0.01049        0.84316     1
   58845.051372       0.006217        0.05612        0.00867        0.97190     1
   58849.165387       0.006130        0.05798        0.00886        0.97164     1
   58852.093139       0.006827        0.06428        0.00840        0.96982     1
   58873.891244       0.005258        0.06946        0.01065        0.96579     1
   58877.675863       0.005374        0.07388        0.01038        0.96506     1
   58884.828675       0.005316        0.06648        0.01053        0.97506     1
   58887.151342       0.004895        0.04953        0.00922        0.95277     1
   58891.139588       0.006246        0.05232        0.00850        0.97211     1
   58894.981043       0.005055        0.08434        0.01377        0.97439     1
   58898.100412       0.005127        0.06369        0.01036        0.95517     1
   58901.426381       0.006231        0.05624        0.00996        0.97187     1
   58908.121079       0.005287        0.03635        0.00919        0.95623     1
   58912.437014       0.005345        0.04785        0.00859        0.97578     1
   58926.071273       0.005810        0.04461        0.00859        0.95511     1
   58929.984095       0.004764        0.08897        0.01202        0.98064     1
   58933.167986       0.004910        0.06055        0.01025        0.96250     1
   58936.817357       0.004822        0.07311        0.01068        0.97289     1
