/*
**
**  Swift/XRT light curve for VER J0521+212.
**
**  Data taken from the automatic processing at http://www.swift.psu.edu/monitoring/
**
**  When using these data and results in publications, please reference M.C. Stroh & A.D. Falcone 2013, ApJS, 207, 28; arXiv: 1305.4949.
**
**  Key:
**
**   BinCenter      - Center of time bin (MJD)
**   BinHW          - One-half of the full time bin size (days)
**   Rate           - The background subtracted, PSF corrected and pile-up corrected source count rate (cts/s).
**   RateError      - 1 sigma error in source count rate (cts/s)
**   FracExp        - Conversion factor between bin size and observing time
**   Mode           - 0 if in Windowed Timing (WT)
**                    1 if in Photon Counting (PC)
**
**
**  Upper limits have an error listed as -1.00000.
**
*/
      BinCenter          BinHW           Rate      RateError        FracExp  Mode
   53686.940930       0.004433        0.08235        0.02059        0.34659     0
   53686.945977       0.007466        0.04626        0.00795        0.81113     1
   55131.489302       0.038914        0.09624        0.01084        0.30620     1
   55132.411108       0.040947        0.17394        0.01254        0.35548     1
   55134.488660       0.034237        0.12724        0.00857        0.39516     1
   55159.277594       0.069591        0.31932        0.01982        0.10347     1
   55160.387139       0.040613        0.76909        0.02436        0.35056     1
   55161.393711       0.043083        1.05546        0.02810        0.37803     1
   55162.354895       0.000156        1.80673        0.29704        0.92639     0
   55162.396623       0.041557        1.58342        0.04893        0.35869     1
   56244.444147       0.033791        0.33905        0.01616        0.31989     0
   56245.390600       0.044120        0.30155        0.01384        0.27507     0
   56246.387027       0.038652        0.26724        0.01448        0.25967     0
   56247.399302       0.039580        0.53453        0.01970        0.26410     0
   56580.465191       0.072293        0.92435        0.03751        0.11309     1
   56581.009833       0.007510        0.84477        0.03785        0.93777     1
   56582.604054       0.009137        1.06106        0.04410        0.95729     1
   56583.485401       0.004169        1.66514        0.09720        0.96269     1
   56584.741112       0.008149        0.76756        0.03575        0.94830     1
   56585.473605       0.009006        0.93658        0.05033        0.93807     1
   56586.012486       0.008309        1.25925        0.04432        0.96989     1
   56590.792715       0.037127        1.31738        0.04812        0.19970     1
   56591.424137       0.000842        0.93929        0.12030        0.95708     1
   56592.258419       0.037389        0.79701        0.03610        0.20027     1
   56621.271053       0.040671        0.53755        0.02546        0.29325     1
   56622.272116       0.040366        0.96471        0.03248        0.29018     1
   56623.341933       0.042763        0.56250        0.02019        0.26381     1
   56624.339772       0.038696        0.60376        0.03236        0.30016     1
   56625.340719       0.038434        0.64403        0.01997        0.29723     1
   56626.341239       0.037897        0.98887        0.03786        0.24830     1
